;ID;CLUSTER
0;Ain | 1968;0
1;Aisne | 1968;2
2;Allier | 1968;0
3;Alpes-de-Haute-Provence | 1968;0
4;Hautes-Alpes | 1968;0
5;Alpes-Maritimes | 1968;0
6;Ardèche | 1968;0
7;Ardennes | 1968;0
8;Ariège | 1968;0
9;Aube | 1968;0
10;Aude | 1968;0
11;Aveyron | 1968;0
12;Bouches-du-Rhône | 1968;4
13;Calvados | 1968;2
14;Cantal | 1968;0
15;Charente | 1968;0
16;Charente-Maritime | 1968;2
17;Cher | 1968;0
18;Corrèze | 1968;0
19;Côte-d'Or | 1968;0
20;Côtes-d'Armor | 1968;2
21;Creuse | 1968;0
22;Dordogne | 1968;0
23;Doubs | 1968;0
24;Drôme | 1968;0
25;Eure | 1968;0
26;Eure-et-Loir | 1968;0
27;Finistère | 1968;4
28;Gard | 1968;0
29;Haute-Garonne | 1968;2
30;Gers | 1968;0
31;Gironde | 1968;2
32;Hérault | 1968;2
33;Ille-et-Vilaine | 1968;2
34;Indre | 1968;0
35;Indre-et-Loire | 1968;0
36;Isère | 1968;2
37;Jura | 1968;0
38;Landes | 1968;0
39;Loir-et-Cher | 1968;0
40;Loire | 1968;2
41;Haute-Loire | 1968;0
42;Loire-Atlantique | 1968;2
43;Loiret | 1968;0
44;Lot | 1968;0
45;Lot-et-Garonne | 1968;0
46;Lozère | 1968;0
47;Maine-et-Loire | 1968;2
48;Manche | 1968;2
49;Marne | 1968;2
50;Haute-Marne | 1968;0
51;Mayenne | 1968;0
52;Meurthe-et-Moselle | 1968;2
53;Meuse | 1968;0
54;Morbihan | 1968;2
55;Moselle | 1968;2
56;Nièvre | 1968;0
57;Nord | 1968;3
58;Oise | 1968;2
59;Orne | 1968;0
60;Pas-de-Calais | 1968;4
61;Puy-de-Dôme | 1968;2
62;Pyrénées-Atlantiques | 1968;2
63;Hautes-Pyrénées | 1968;0
64;Pyrénées-Orientales | 1968;0
65;Bas-Rhin | 1968;2
66;Haut-Rhin | 1968;2
67;Rhône | 1968;4
68;Haute-Saône | 1968;0
69;Saône-et-Loire | 1968;2
70;Sarthe | 1968;2
71;Savoie | 1968;0
72;Haute-Savoie | 1968;0
73;Paris | 1968;3
74;Seine-Maritime | 1968;4
75;Seine-et-Marne | 1968;2
76;Yvelines | 1968;2
77;Deux-Sèvres | 1968;0
78;Somme | 1968;2
79;Tarn | 1968;0
80;Tarn-et-Garonne | 1968;0
81;Var | 1968;0
82;Vaucluse | 1968;0
83;Vendée | 1968;2
84;Vienne | 1968;0
85;Haute-Vienne | 1968;0
86;Vosges | 1968;2
87;Yonne | 1968;0
88;Territoire de Belfort | 1968;0
89;Essonne | 1968;0
90;Hauts-de-Seine | 1968;2
91;Seine-Saint-Denis | 1968;2
92;Val-de-Marne | 1968;2
93;Val-d'Oise | 1968;0
94;Guadeloupe | 1968;0
95;Martinique | 1968;0
96;Guyane | 1968;0
97;La Réunion | 1968;0
98;faute de frappe | 1968;1
99;Ain | 1982;0
100;Aisne | 1982;2
101;Allier | 1982;0
102;Alpes-de-Haute-Provence | 1982;0
103;Hautes-Alpes | 1982;0
104;Alpes-Maritimes | 1982;2
105;Ardèche | 1982;0
106;Ardennes | 1982;0
107;Ariège | 1982;0
108;Aube | 1982;0
109;Aude | 1982;0
110;Aveyron | 1982;0
111;Bouches-du-Rhône | 1982;4
112;Calvados | 1982;2
113;Cantal | 1982;0
114;Charente | 1982;0
115;Charente-Maritime | 1982;2
116;Cher | 1982;0
117;Corrèze | 1982;0
118;Côte-d'Or | 1982;0
119;Côtes-d'Armor | 1982;2
120;Creuse | 1982;0
121;Dordogne | 1982;0
122;Doubs | 1982;2
123;Drôme | 1982;0
124;Eure | 1982;0
125;Eure-et-Loir | 1982;0
126;Finistère | 1982;4
127;Corse-du-Sud | 1982;0
128;Haute-Corse | 1982;0
129;Gard | 1982;0
130;Haute-Garonne | 1982;2
131;Gers | 1982;0
132;Gironde | 1982;4
133;Hérault | 1982;2
134;Ille-et-Vilaine | 1982;2
135;Indre | 1982;0
136;Indre-et-Loire | 1982;2
137;Isère | 1982;2
138;Jura | 1982;0
139;Landes | 1982;0
140;Loir-et-Cher | 1982;0
141;Loire | 1982;2
142;Haute-Loire | 1982;0
143;Loire-Atlantique | 1982;4
144;Loiret | 1982;2
145;Lot | 1982;0
146;Lot-et-Garonne | 1982;0
147;Lozère | 1982;0
148;Maine-et-Loire | 1982;2
149;Manche | 1982;2
150;Marne | 1982;2
151;Haute-Marne | 1982;0
152;Mayenne | 1982;0
153;Meurthe-et-Moselle | 1982;2
154;Meuse | 1982;0
155;Morbihan | 1982;2
156;Moselle | 1982;4
157;Nièvre | 1982;0
158;Nord | 1982;3
159;Oise | 1982;2
160;Orne | 1982;0
161;Pas-de-Calais | 1982;4
162;Puy-de-Dôme | 1982;2
163;Pyrénées-Atlantiques | 1982;2
164;Hautes-Pyrénées | 1982;0
165;Pyrénées-Orientales | 1982;0
166;Bas-Rhin | 1982;2
167;Haut-Rhin | 1982;2
168;Rhône | 1982;4
169;Haute-Saône | 1982;0
170;Saône-et-Loire | 1982;2
171;Sarthe | 1982;2
172;Savoie | 1982;0
173;Haute-Savoie | 1982;0
174;Paris | 1982;3
175;Seine-Maritime | 1982;4
176;Seine-et-Marne | 1982;2
177;Yvelines | 1982;2
178;Deux-Sèvres | 1982;0
179;Somme | 1982;2
180;Tarn | 1982;0
181;Tarn-et-Garonne | 1982;0
182;Var | 1982;0
183;Vaucluse | 1982;0
184;Vendée | 1982;2
185;Vienne | 1982;0
186;Haute-Vienne | 1982;0
187;Vosges | 1982;2
188;Yonne | 1982;0
189;Territoire de Belfort | 1982;0
190;Essonne | 1982;0
191;Hauts-de-Seine | 1982;4
192;Seine-Saint-Denis | 1982;2
193;Val-de-Marne | 1982;2
194;Val-d'Oise | 1982;2
195;Guadeloupe | 1982;0
196;Martinique | 1982;0
197;Guyane | 1982;0
198;La Réunion | 1982;0
199;faute de frappe | 1982;1
200;Ain | 1975;0
201;Aisne | 1975;2
202;Allier | 1975;0
203;Alpes-de-Haute-Provence | 1975;0
204;Hautes-Alpes | 1975;0
205;Alpes-Maritimes | 1975;0
206;Ardèche | 1975;0
207;Ardennes | 1975;0
208;Ariège | 1975;0
209;Aube | 1975;0
210;Aude | 1975;0
211;Aveyron | 1975;0
212;Bouches-du-Rhône | 1975;4
213;Calvados | 1975;2
214;Cantal | 1975;0
215;Charente | 1975;0
216;Charente-Maritime | 1975;2
217;Cher | 1975;0
218;Corrèze | 1975;0
219;Côte-d'Or | 1975;0
220;Côtes-d'Armor | 1975;2
221;Creuse | 1975;0
