;ID;CLUSTER
0;Ain | 1968;2
1;Aisne | 1968;2
2;Allier | 1968;2
3;Alpes-de-Haute-Provence | 1968;2
4;Hautes-Alpes | 1968;2
5;Alpes-Maritimes | 1968;2
6;Ardèche | 1968;2
7;Ardennes | 1968;2
8;Ariège | 1968;2
9;Aube | 1968;2
10;Aude | 1968;2
11;Aveyron | 1968;2
12;Bouches-du-Rhône | 1968;1
13;Calvados | 1968;2
14;Cantal | 1968;2
15;Charente | 1968;2
16;Charente-Maritime | 1968;2
17;Cher | 1968;2
18;Corrèze | 1968;2
19;Côte-d'Or | 1968;2
20;Côtes-d'Armor | 1968;2
21;Creuse | 1968;2
22;Dordogne | 1968;2
23;Doubs | 1968;2
24;Drôme | 1968;2
25;Eure | 1968;2
26;Eure-et-Loir | 1968;2
27;Finistère | 1968;1
28;Corse-du-Sud | 1968;2
29;Haute-Corse | 1968;2
30;Gard | 1968;2
31;Haute-Garonne | 1968;2
32;Gers | 1968;2
33;Gironde | 1968;1
34;Hérault | 1968;2
35;Ille-et-Vilaine | 1968;2
36;Indre | 1968;2
37;Indre-et-Loire | 1968;2
38;Isère | 1968;1
39;Jura | 1968;2
40;Landes | 1968;2
41;Loir-et-Cher | 1968;2
42;Loire | 1968;1
43;Haute-Loire | 1968;2
44;Loire-Atlantique | 1968;1
45;Loiret | 1968;2
46;Lot | 1968;2
47;Lot-et-Garonne | 1968;2
48;Lozère | 1968;2
49;Maine-et-Loire | 1968;2
50;Manche | 1968;2
51;Marne | 1968;2
52;Haute-Marne | 1968;2
53;Mayenne | 1968;2
54;Meurthe-et-Moselle | 1968;1
55;Meuse | 1968;2
56;Morbihan | 1968;2
57;Moselle | 1968;1
58;Nièvre | 1968;2
59;Nord | 1968;0
60;Oise | 1968;2
61;Orne | 1968;2
62;Pas-de-Calais | 1968;1
63;Puy-de-Dôme | 1968;2
64;Pyrénées-Atlantiques | 1968;2
65;Hautes-Pyrénées | 1968;2
66;Pyrénées-Orientales | 1968;2
67;Bas-Rhin | 1968;1
68;Haut-Rhin | 1968;2
69;Rhône | 1968;1
70;Haute-Saône | 1968;2
71;Saône-et-Loire | 1968;2
72;Sarthe | 1968;2
73;Savoie | 1968;2
