;ID;CLUSTER
0;Ain | 1968;2
1;Aisne | 1968;0
2;Allier | 1968;2
3;Alpes-de-Haute-Provence | 1968;2
4;Hautes-Alpes | 1968;2
5;Alpes-Maritimes | 1968;0
6;Ardèche | 1968;2
7;Ardennes | 1968;2
8;Ariège | 1968;2
9;Aube | 1968;2
10;Aude | 1968;2
11;Aveyron | 1968;2
12;Bouches-du-Rhône | 1968;1
13;Calvados | 1968;0
14;Cantal | 1968;2
15;Charente | 1968;2
16;Charente-Maritime | 1968;0
17;Cher | 1968;2
18;Corrèze | 1968;2
19;Côte-d'Or | 1968;2
20;Côtes-d'Armor | 1968;0
21;Creuse | 1968;2
22;Dordogne | 1968;2
23;Doubs | 1968;2
24;Drôme | 1968;2
25;Eure | 1968;2
26;Eure-et-Loir | 1968;2
27;Finistère | 1968;0
28;Corse-du-Sud | 1968;2
29;Haute-Corse | 1968;2
30;Gard | 1968;0
31;Haute-Garonne | 1968;0
32;Gers | 1968;2
33;Gironde | 1968;0
34;Hérault | 1968;0
35;Ille-et-Vilaine | 1968;0
36;Indre | 1968;2
37;Indre-et-Loire | 1968;2
38;Isère | 1968;0
39;Jura | 1968;2
40;Landes | 1968;2
41;Loir-et-Cher | 1968;2
42;Loire | 1968;0
43;Haute-Loire | 1968;2
44;Loire-Atlantique | 1968;0
45;Loiret | 1968;2
46;Lot | 1968;2
47;Lot-et-Garonne | 1968;2
48;Lozère | 1968;2
49;Maine-et-Loire | 1968;0
50;Manche | 1968;2
51;Marne | 1968;0
52;Haute-Marne | 1968;2
53;Mayenne | 1968;2
54;Meurthe-et-Moselle | 1968;0
55;Meuse | 1968;2
56;Morbihan | 1968;0
57;Moselle | 1968;0
58;Nièvre | 1968;2
59;Nord | 1968;1
60;Oise | 1968;0
61;Orne | 1968;2
62;Pas-de-Calais | 1968;1
63;Puy-de-Dôme | 1968;0
64;Pyrénées-Atlantiques | 1968;0
65;Hautes-Pyrénées | 1968;2
66;Pyrénées-Orientales | 1968;2
67;Bas-Rhin | 1968;0
68;Haut-Rhin | 1968;0
69;Rhône | 1968;1
70;Haute-Saône | 1968;2
71;Saône-et-Loire | 1968;0
72;Sarthe | 1968;2
73;Savoie | 1968;2
74;Haute-Savoie | 1968;2
75;Paris | 1968;1
76;Seine-Maritime | 1968;1
77;Seine-et-Marne | 1968;0
78;Yvelines | 1968;0
79;Deux-Sèvres | 1968;2
80;Somme | 1968;0
81;Tarn | 1968;2
82;Tarn-et-Garonne | 1968;2
83;Var | 1968;0
84;Vaucluse | 1968;2
85;Vendée | 1968;2
86;Vienne | 1968;2
87;Haute-Vienne | 1968;2
88;Vosges | 1968;2
89;Yonne | 1968;2
90;Territoire de Belfort | 1968;2
91;Essonne | 1968;0
92;Hauts-de-Seine | 1968;1
93;Seine-Saint-Denis | 1968;1
94;Val-de-Marne | 1968;1
95;Val-d'Oise | 1968;0
96;Ain | 1982;2
97;Aisne | 1982;0
98;Allier | 1982;2
99;Alpes-de-Haute-Provence | 1982;2
100;Hautes-Alpes | 1982;2
101;Alpes-Maritimes | 1982;0
102;Ardèche | 1982;2
103;Ardennes | 1982;2
104;Ariège | 1982;2
105;Aube | 1982;2
106;Aude | 1982;2
107;Aveyron | 1982;2
108;Bouches-du-Rhône | 1982;1
109;Calvados | 1982;0
110;Cantal | 1982;2
111;Charente | 1982;2
112;Charente-Maritime | 1982;0
113;Cher | 1982;2
114;Corrèze | 1982;2
115;Côte-d'Or | 1982;2
116;Côtes-d'Armor | 1982;0
117;Creuse | 1982;2
118;Dordogne | 1982;2
119;Doubs | 1982;2
120;Drôme | 1982;2
121;Eure | 1982;2
122;Eure-et-Loir | 1982;2
123;Finistère | 1982;0
124;Corse-du-Sud | 1982;2
125;Haute-Corse | 1982;2
126;Gard | 1982;0
127;Haute-Garonne | 1982;0
128;Gers | 1982;2
129;Gironde | 1982;1
130;Hérault | 1982;0
131;Ille-et-Vilaine | 1982;0
132;Indre | 1982;2
133;Indre-et-Loire | 1982;0
134;Isère | 1982;0
135;Jura | 1982;2
136;Landes | 1982;2
137;Loir-et-Cher | 1982;2
138;Loire | 1982;0
139;Haute-Loire | 1982;2
140;Loire-Atlantique | 1982;0
141;Loiret | 1982;0
142;Lot | 1982;2
143;Lot-et-Garonne | 1982;2
144;Lozère | 1982;2
145;Maine-et-Loire | 1982;0
146;Manche | 1982;2
147;Marne | 1982;0
148;Haute-Marne | 1982;2
149;Mayenne | 1982;2
150;Meurthe-et-Moselle | 1982;0
151;Meuse | 1982;2
152;Morbihan | 1982;0
153;Moselle | 1982;0
154;Nièvre | 1982;2
155;Nord | 1982;1
156;Oise | 1982;0
157;Orne | 1982;2
158;Pas-de-Calais | 1982;1
159;Puy-de-Dôme | 1982;0
160;Pyrénées-Atlantiques | 1982;0
161;Hautes-Pyrénées | 1982;2
162;Pyrénées-Orientales | 1982;2
163;Bas-Rhin | 1982;0
164;Haut-Rhin | 1982;0
165;Rhône | 1982;1
166;Haute-Saône | 1982;2
167;Saône-et-Loire | 1982;0
168;Sarthe | 1982;0
169;Savoie | 1982;2
170;Haute-Savoie | 1982;0
171;Paris | 1982;1
172;Seine-Maritime | 1982;1
173;Seine-et-Marne | 1982;0
174;Yvelines | 1982;1
175;Deux-Sèvres | 1982;2
176;Somme | 1982;0
177;Tarn | 1982;2
178;Tarn-et-Garonne | 1982;2
179;Var | 1982;0
180;Vaucluse | 1982;2
181;Vendée | 1982;0
182;Vienne | 1982;2
183;Haute-Vienne | 1982;2
184;Vosges | 1982;2
185;Yonne | 1982;2
186;Territoire de Belfort | 1982;2
187;Essonne | 1982;0
188;Hauts-de-Seine | 1982;1
189;Seine-Saint-Denis | 1982;1
190;Val-de-Marne | 1982;1
191;Val-d'Oise | 1982;0
192;Ain | 1975;2
193;Aisne | 1975;0
194;Allier | 1975;2
195;Alpes-de-Haute-Provence | 1975;2
196;Hautes-Alpes | 1975;2
197;Alpes-Maritimes | 1975;0
198;Ardèche | 1975;2
199;Ardennes | 1975;2
200;Ariège | 1975;2
201;Aube | 1975;2
202;Aude | 1975;2
203;Aveyron | 1975;2
204;Bouches-du-Rhône | 1975;1
205;Calvados | 1975;0
206;Cantal | 1975;2
207;Charente | 1975;2
208;Charente-Maritime | 1975;0
209;Cher | 1975;2
210;Corrèze | 1975;2
211;Côte-d'Or | 1975;2
212;Côtes-d'Armor | 1975;0
213;Creuse | 1975;2
214;Dordogne | 1975;2
215;Doubs | 1975;2
216;Drôme | 1975;2
217;Eure | 1975;2
218;Eure-et-Loir | 1975;2
219;Finistère | 1975;0
220;Corse-du-Sud | 1975;2
221;Haute-Corse | 1975;2
222;Gard | 1975;0
223;Haute-Garonne | 1975;0
224;Gers | 1975;2
225;Gironde | 1975;0
226;Hérault | 1975;0
227;Ille-et-Vilaine | 1975;0
228;Indre | 1975;2
229;Indre-et-Loire | 1975;0
230;Isère | 1975;0
231;Jura | 1975;2
232;Landes | 1975;2
233;Loir-et-Cher | 1975;2
234;Loire | 1975;0
235;Haute-Loire | 1975;2
236;Loire-Atlantique | 1975;0
237;Loiret | 1975;0
238;Lot | 1975;2
239;Lot-et-Garonne | 1975;2
240;Lozère | 1975;2
241;Maine-et-Loire | 1975;0
242;Manche | 1975;2
243;Marne | 1975;0
244;Haute-Marne | 1975;2
245;Mayenne | 1975;2
246;Meurthe-et-Moselle | 1975;0
247;Meuse | 1975;2
248;Morbihan | 1975;0
249;Moselle | 1975;0
250;Nièvre | 1975;2
251;Nord | 1975;1
252;Oise | 1975;0
253;Orne | 1975;2
254;Pas-de-Calais | 1975;1
255;Puy-de-Dôme | 1975;0
256;Pyrénées-Atlantiques | 1975;0
257;Hautes-Pyrénées | 1975;2
258;Pyrénées-Orientales | 1975;2
259;Bas-Rhin | 1975;0
260;Haut-Rhin | 1975;0
261;Rhône | 1975;1
262;Haute-Saône | 1975;2
263;Saône-et-Loire | 1975;0
264;Sarthe | 1975;0
265;Savoie | 1975;2
266;Haute-Savoie | 1975;2
267;Paris | 1975;1
268;Seine-Maritime | 1975;1
269;Seine-et-Marne | 1975;0
270;Yvelines | 1975;0
271;Deux-Sèvres | 1975;2
272;Somme | 1975;0
273;Tarn | 1975;2
274;Tarn-et-Garonne | 1975;2
275;Var | 1975;0
276;Vaucluse | 1975;2
277;Vendée | 1975;2
278;Vienne | 1975;2
279;Haute-Vienne | 1975;2
280;Vosges | 1975;2
281;Yonne | 1975;2
282;Territoire de Belfort | 1975;2
283;Essonne | 1975;0
284;Hauts-de-Seine | 1975;1
285;Seine-Saint-Denis | 1975;1
286;Val-de-Marne | 1975;1
287;Val-d'Oise | 1975;0
288;Ain | 2016;0
289;Aisne | 2016;0
290;Allier | 2016;2
291;Alpes-de-Haute-Provence | 2016;2
292;Hautes-Alpes | 2016;2
293;Alpes-Maritimes | 2016;0
294;Ardèche | 2016;2
295;Ardennes | 2016;2
296;Ariège | 2016;2
297;Aube | 2016;2
298;Aude | 2016;2
299;Aveyron | 2016;2
300;Bouches-du-Rhône | 2016;1
301;Calvados | 2016;0
302;Cantal | 2016;2
303;Charente | 2016;2
304;Charente-Maritime | 2016;0
305;Cher | 2016;2
306;Corrèze | 2016;2
307;Côte-d'Or | 2016;0
308;Côtes-d'Armor | 2016;0
309;Creuse | 2016;2
310;Dordogne | 2016;2
311;Doubs | 2016;0
312;Drôme | 2016;0
313;Eure | 2016;0
314;Eure-et-Loir | 2016;2
315;Finistère | 2016;0
316;Corse-du-Sud | 2016;2
317;Haute-Corse | 2016;2
318;Gard | 2016;0
319;Haute-Garonne | 2016;1
320;Gers | 2016;2
321;Gironde | 2016;1
322;Hérault | 2016;1
323;Ille-et-Vilaine | 2016;0
324;Indre | 2016;2
325;Indre-et-Loire | 2016;0
326;Isère | 2016;1
327;Jura | 2016;2
328;Landes | 2016;2
329;Loir-et-Cher | 2016;2
330;Loire | 2016;0
331;Haute-Loire | 2016;2
332;Loire-Atlantique | 2016;1
333;Loiret | 2016;0
334;Lot | 2016;2
335;Lot-et-Garonne | 2016;2
336;Lozère | 2016;2
337;Maine-et-Loire | 2016;0
338;Manche | 2016;0
339;Marne | 2016;0
340;Haute-Marne | 2016;2
341;Mayenne | 2016;2
342;Meurthe-et-Moselle | 2016;0
343;Meuse | 2016;2
344;Morbihan | 2016;0
345;Moselle | 2016;0
346;Nièvre | 2016;2
347;Nord | 2016;1
348;Oise | 2016;0
349;Orne | 2016;2
350;Pas-de-Calais | 2016;1
351;Puy-de-Dôme | 2016;0
352;Pyrénées-Atlantiques | 2016;0
353;Hautes-Pyrénées | 2016;2
354;Pyrénées-Orientales | 2016;2
355;Bas-Rhin | 2016;0
356;Haut-Rhin | 2016;0
357;Rhône | 2016;1
358;Haute-Saône | 2016;2
359;Saône-et-Loire | 2016;0
360;Sarthe | 2016;0
361;Savoie | 2016;2
362;Haute-Savoie | 2016;0
363;Paris | 2016;1
364;Seine-Maritime | 2016;1
365;Seine-et-Marne | 2016;1
366;Yvelines | 2016;1
367;Deux-Sèvres | 2016;2
368;Somme | 2016;0
369;Tarn | 2016;2
370;Tarn-et-Garonne | 2016;2
371;Var | 2016;0
372;Vaucluse | 2016;0
373;Vendée | 2016;0
374;Vienne | 2016;2
375;Haute-Vienne | 2016;2
376;Vosges | 2016;2
377;Yonne | 2016;2
378;Territoire de Belfort | 2016;2
379;Essonne | 2016;1
380;Hauts-de-Seine | 2016;1
381;Seine-Saint-Denis | 2016;1
382;Val-de-Marne | 2016;1
383;Val-d'Oise | 2016;1
384;Guadeloupe | 2016;2
385;Martinique | 2016;2
386;Guyane | 2016;2
387;La Réunion | 2016;0
388;Ain | 1990;2
389;Aisne | 1990;0
390;Allier | 1990;2
391;Alpes-de-Haute-Provence | 1990;2
392;Hautes-Alpes | 1990;2
393;Alpes-Maritimes | 1990;0
394;Ardèche | 1990;2
395;Ardennes | 1990;2
396;Ariège | 1990;2
397;Aube | 1990;2
398;Aude | 1990;2
399;Aveyron | 1990;2
400;Bouches-du-Rhône | 1990;1
401;Calvados | 1990;0
402;Cantal | 1990;2
403;Charente | 1990;2
404;Charente-Maritime | 1990;0
405;Cher | 1990;2
406;Corrèze | 1990;2
407;Côte-d'Or | 1990;0
408;Côtes-d'Armor | 1990;0
409;Creuse | 1990;2
410;Dordogne | 1990;2
411;Doubs | 1990;2
412;Drôme | 1990;2
413;Eure | 1990;0
414;Eure-et-Loir | 1990;2
415;Finistère | 1990;0
416;Corse-du-Sud | 1990;2
417;Haute-Corse | 1990;2
418;Gard | 1990;0
419;Haute-Garonne | 1990;0
420;Gers | 1990;2
421;Gironde | 1990;1
