;ID;CLUSTER
0;Ain | 1968;1
1;Aisne | 1968;1
2;Allier | 1968;1
3;Alpes-de-Haute-Provence | 1968;1
4;Hautes-Alpes | 1968;1
5;Alpes-Maritimes | 1968;1
6;Ardèche | 1968;1
7;Ardennes | 1968;1
8;Ariège | 1968;1
9;Aube | 1968;1
10;Aude | 1968;1
11;Aveyron | 1968;1
12;Bouches-du-Rhône | 1968;1
13;Calvados | 1968;1
14;Cantal | 1968;1
15;Charente | 1968;1
16;Charente-Maritime | 1968;1
17;Cher | 1968;1
18;Corrèze | 1968;1
19;Côte-d'Or | 1968;1
20;Côtes-d'Armor | 1968;1
21;Creuse | 1968;1
22;Dordogne | 1968;1
23;Doubs | 1968;1
24;Drôme | 1968;1
25;Eure | 1968;1
26;Eure-et-Loir | 1968;1
27;Finistère | 1968;1
28;Corse-du-Sud | 1968;1
29;Haute-Corse | 1968;1
30;Gard | 1968;1
31;Haute-Garonne | 1968;1
32;Gers | 1968;1
33;Gironde | 1968;1
34;Hérault | 1968;1
35;Ille-et-Vilaine | 1968;1
36;Indre | 1968;1
37;Indre-et-Loire | 1968;1
38;Isère | 1968;1
39;Jura | 1968;1
40;Landes | 1968;1
41;Loir-et-Cher | 1968;1
42;Loire | 1968;1
43;Haute-Loire | 1968;1
44;Loire-Atlantique | 1968;1
45;Loiret | 1968;1
46;Lot | 1968;1
47;Lot-et-Garonne | 1968;1
48;Lozère | 1968;1
49;Maine-et-Loire | 1968;1
50;Manche | 1968;1
51;Marne | 1968;1
52;Haute-Marne | 1968;1
53;Mayenne | 1968;1
54;Meurthe-et-Moselle | 1968;1
55;Meuse | 1968;1
56;Morbihan | 1968;1
57;Moselle | 1968;1
58;Nièvre | 1968;1
59;Nord | 1968;1
60;Oise | 1968;1
61;Orne | 1968;1
62;Pas-de-Calais | 1968;1
63;Puy-de-Dôme | 1968;1
64;Pyrénées-Atlantiques | 1968;1
65;Hautes-Pyrénées | 1968;1
66;Pyrénées-Orientales | 1968;1
67;Bas-Rhin | 1968;1
68;Haut-Rhin | 1968;1
69;Rhône | 1968;1
70;Haute-Saône | 1968;1
71;Saône-et-Loire | 1968;1
72;Sarthe | 1968;1
73;Savoie | 1968;1
74;Haute-Savoie | 1968;1
75;Paris | 1968;1
76;Seine-Maritime | 1968;1
77;Seine-et-Marne | 1968;1
78;Yvelines | 1968;1
79;Deux-Sèvres | 1968;1
80;Somme | 1968;1
81;Tarn | 1968;1
82;Tarn-et-Garonne | 1968;1
83;Var | 1968;1
84;Vaucluse | 1968;1
85;Vendée | 1968;1
86;Vienne | 1968;1
87;Haute-Vienne | 1968;1
88;Vosges | 1968;1
89;Yonne | 1968;1
90;Territoire de Belfort | 1968;1
91;Essonne | 1968;1
92;Hauts-de-Seine | 1968;1
93;Seine-Saint-Denis | 1968;1
94;Val-de-Marne | 1968;1
95;Val-d'Oise | 1968;1
96;faute de frappe | 1968;0
97;Ain | 1982;1
98;Aisne | 1982;1
99;Allier | 1982;1
100;Alpes-de-Haute-Provence | 1982;1
101;Hautes-Alpes | 1982;1
102;Alpes-Maritimes | 1982;1
103;Ardèche | 1982;1
104;Ardennes | 1982;1
105;Ariège | 1982;1
106;Aube | 1982;1
107;Aude | 1982;1
108;Aveyron | 1982;1
109;Bouches-du-Rhône | 1982;1
110;Calvados | 1982;1
111;Cantal | 1982;1
112;Charente | 1982;1
113;Charente-Maritime | 1982;1
114;Cher | 1982;1
115;Corrèze | 1982;1
116;Côte-d'Or | 1982;1
117;Côtes-d'Armor | 1982;1
118;Creuse | 1982;1
119;Dordogne | 1982;1
120;Doubs | 1982;1
121;Drôme | 1982;1
122;Eure | 1982;1
123;Eure-et-Loir | 1982;1
124;Finistère | 1982;1
125;Corse-du-Sud | 1982;1
126;Haute-Corse | 1982;1
127;Gard | 1982;1
128;Haute-Garonne | 1982;1
129;Gers | 1982;1
130;Gironde | 1982;1
131;Hérault | 1982;1
132;Ille-et-Vilaine | 1982;1
133;Indre | 1982;1
134;Indre-et-Loire | 1982;1
135;Isère | 1982;1
136;Jura | 1982;1
137;Landes | 1982;1
138;Loir-et-Cher | 1982;1
139;Loire | 1982;1
140;Haute-Loire | 1982;1
141;Loire-Atlantique | 1982;1
142;Loiret | 1982;1
143;Lot | 1982;1
144;Lot-et-Garonne | 1982;1
145;Lozère | 1982;1
146;Maine-et-Loire | 1982;1
147;Manche | 1982;1
148;Marne | 1982;1
149;Haute-Marne | 1982;1
150;Mayenne | 1982;1
151;Meurthe-et-Moselle | 1982;1
152;Meuse | 1982;1
153;Morbihan | 1982;1
154;Moselle | 1982;1
155;Nièvre | 1982;1
156;Nord | 1982;1
157;Oise | 1982;1
158;Orne | 1982;1
159;Pas-de-Calais | 1982;1
160;Puy-de-Dôme | 1982;1
161;Pyrénées-Atlantiques | 1982;1
162;Hautes-Pyrénées | 1982;1
163;Pyrénées-Orientales | 1982;1
164;Bas-Rhin | 1982;1
165;Haut-Rhin | 1982;1
166;Rhône | 1982;1
167;Haute-Saône | 1982;1
168;Saône-et-Loire | 1982;1
169;Sarthe | 1982;1
170;Savoie | 1982;1
171;Haute-Savoie | 1982;1
172;Paris | 1982;1
173;Seine-Maritime | 1982;1
174;Seine-et-Marne | 1982;1
175;Yvelines | 1982;1
176;Deux-Sèvres | 1982;1
177;Somme | 1982;1
178;Tarn | 1982;1
179;Tarn-et-Garonne | 1982;1
180;Var | 1982;1
181;Vaucluse | 1982;1
182;Vendée | 1982;1
183;Vienne | 1982;1
184;Haute-Vienne | 1982;1
185;Vosges | 1982;1
186;Yonne | 1982;1
187;Territoire de Belfort | 1982;1
188;Essonne | 1982;1
189;Hauts-de-Seine | 1982;1
190;Seine-Saint-Denis | 1982;1
191;Val-de-Marne | 1982;1
192;Val-d'Oise | 1982;1
193;faute de frappe | 1982;0
194;Ain | 1975;1
195;Aisne | 1975;1
196;Allier | 1975;1
197;Alpes-de-Haute-Provence | 1975;1
198;Hautes-Alpes | 1975;1
199;Alpes-Maritimes | 1975;1
200;Ardèche | 1975;1
201;Ardennes | 1975;1
202;Ariège | 1975;1
203;Aube | 1975;1
204;Aude | 1975;1
205;Aveyron | 1975;1
206;Bouches-du-Rhône | 1975;1
207;Calvados | 1975;1
208;Cantal | 1975;1
209;Charente | 1975;1
210;Charente-Maritime | 1975;1
211;Cher | 1975;1
212;Corrèze | 1975;1
213;Côte-d'Or | 1975;1
214;Côtes-d'Armor | 1975;1
215;Creuse | 1975;1
216;Dordogne | 1975;1
217;Doubs | 1975;1
218;Drôme | 1975;1
219;Eure | 1975;1
220;Eure-et-Loir | 1975;1
221;Finistère | 1975;1
222;Corse-du-Sud | 1975;1
223;Haute-Corse | 1975;1
224;Gard | 1975;1
225;Haute-Garonne | 1975;1
226;Gers | 1975;1
227;Gironde | 1975;1
228;Hérault | 1975;1
229;Ille-et-Vilaine | 1975;1
230;Indre | 1975;1
231;Indre-et-Loire | 1975;1
232;Isère | 1975;1
233;Jura | 1975;1
234;Landes | 1975;1
235;Loir-et-Cher | 1975;1
236;Loire | 1975;1
237;Haute-Loire | 1975;1
238;Loire-Atlantique | 1975;1
239;Loiret | 1975;1
240;Lot | 1975;1
241;Lot-et-Garonne | 1975;1
242;Lozère | 1975;1
243;Maine-et-Loire | 1975;1
244;Manche | 1975;1
245;Marne | 1975;1
246;Haute-Marne | 1975;1
247;Mayenne | 1975;1
248;Meurthe-et-Moselle | 1975;1
249;Meuse | 1975;1
250;Morbihan | 1975;1
251;Moselle | 1975;1
252;Nièvre | 1975;1
253;Nord | 1975;1
254;Oise | 1975;1
255;Orne | 1975;1
256;Pas-de-Calais | 1975;1
257;Puy-de-Dôme | 1975;1
258;Pyrénées-Atlantiques | 1975;1
259;Hautes-Pyrénées | 1975;1
260;Pyrénées-Orientales | 1975;1
261;Bas-Rhin | 1975;1
262;Haut-Rhin | 1975;1
263;Rhône | 1975;1
264;Haute-Saône | 1975;1
265;Saône-et-Loire | 1975;1
266;Sarthe | 1975;1
267;Savoie | 1975;1
268;Haute-Savoie | 1975;1
269;Paris | 1975;1
270;Seine-Maritime | 1975;1
271;Seine-et-Marne | 1975;1
272;Yvelines | 1975;1
273;Deux-Sèvres | 1975;1
274;Somme | 1975;1
275;Tarn | 1975;1
276;Tarn-et-Garonne | 1975;1
277;Var | 1975;1
278;Vaucluse | 1975;1
279;Vendée | 1975;1
280;Vienne | 1975;1
281;Haute-Vienne | 1975;1
282;Vosges | 1975;1
283;Yonne | 1975;1
284;Territoire de Belfort | 1975;1
285;Essonne | 1975;1
286;Hauts-de-Seine | 1975;1
287;Seine-Saint-Denis | 1975;1
288;Val-de-Marne | 1975;1
289;Val-d'Oise | 1975;1
290;faute de frappe | 1975;0
291;Ain | 2016;1
292;Aisne | 2016;1
293;Allier | 2016;1
294;Alpes-de-Haute-Provence | 2016;1
295;Hautes-Alpes | 2016;1
296;Alpes-Maritimes | 2016;1
297;Ardèche | 2016;1
298;Ardennes | 2016;1
299;Ariège | 2016;1
300;Aube | 2016;1
301;Aude | 2016;1
302;Aveyron | 2016;1
303;Bouches-du-Rhône | 2016;1
304;Calvados | 2016;1
305;Cantal | 2016;1
306;Charente | 2016;1
307;Charente-Maritime | 2016;1
308;Cher | 2016;1
309;Corrèze | 2016;1
310;Côte-d'Or | 2016;1
311;Côtes-d'Armor | 2016;1
312;Creuse | 2016;1
313;Dordogne | 2016;1
314;Doubs | 2016;1
315;Drôme | 2016;1
316;Eure | 2016;1
317;Eure-et-Loir | 2016;1
318;Finistère | 2016;1
319;Corse-du-Sud | 2016;1
320;Haute-Corse | 2016;1
321;Gard | 2016;1
322;Haute-Garonne | 2016;1
323;Gers | 2016;1
324;Gironde | 2016;1
325;Hérault | 2016;1
326;Ille-et-Vilaine | 2016;1
327;Indre | 2016;1
328;Indre-et-Loire | 2016;1
329;Isère | 2016;1
330;Jura | 2016;1
331;Landes | 2016;1
332;Loir-et-Cher | 2016;1
333;Loire | 2016;1
334;Haute-Loire | 2016;1
335;Loire-Atlantique | 2016;1
336;Loiret | 2016;1
337;Lot | 2016;1
338;Lot-et-Garonne | 2016;1
339;Lozère | 2016;1
340;Maine-et-Loire | 2016;1
341;Manche | 2016;1
342;Marne | 2016;1
343;Haute-Marne | 2016;1
344;Mayenne | 2016;1
345;Meurthe-et-Moselle | 2016;1
346;Meuse | 2016;1
347;Morbihan | 2016;1
348;Moselle | 2016;1
349;Nièvre | 2016;1
350;Nord | 2016;1
351;Oise | 2016;1
352;Orne | 2016;1
353;Pas-de-Calais | 2016;1
354;Puy-de-Dôme | 2016;1
355;Pyrénées-Atlantiques | 2016;1
356;Hautes-Pyrénées | 2016;1
357;Pyrénées-Orientales | 2016;1
358;Bas-Rhin | 2016;1
359;Haut-Rhin | 2016;1
360;Rhône | 2016;1
361;Haute-Saône | 2016;1
362;Saône-et-Loire | 2016;1
