;ID;CLUSTER
0;Aude | 1968;1
1;Dordogne | 1968;0
2;Eure | 1968;0
3;Eure-et-Loir | 1968;0
4;Gers | 1968;3
5;Loire-Atlantique | 1968;3
6;Haute-Marne | 1968;0
7;Mayenne | 1968;0
8;Paris | 1968;3
9;Seine-Maritime | 1968;0
10;Vaucluse | 1968;3
11;Seine-Saint-Denis | 1968;0
12;Val-de-Marne | 1968;2
13;Aude | 1982;1
14;Dordogne | 1982;0
15;Eure | 1982;0
16;Eure-et-Loir | 1982;0
17;Gers | 1982;3
18;Loire-Atlantique | 1982;3
19;Haute-Marne | 1982;0
20;Mayenne | 1982;0
21;Paris | 1982;3
22;Seine-Maritime | 1982;0
23;Vaucluse | 1982;3
24;Seine-Saint-Denis | 1982;0
25;Val-de-Marne | 1982;2
26;Aude | 1975;1
27;Dordogne | 1975;0
28;Eure | 1975;0
29;Eure-et-Loir | 1975;0
30;Gers | 1975;3
31;Loire-Atlantique | 1975;3
32;Haute-Marne | 1975;0
33;Mayenne | 1975;0
34;Paris | 1975;3
35;Seine-Maritime | 1975;0
36;Vaucluse | 1975;3
37;Seine-Saint-Denis | 1975;0
38;Val-de-Marne | 1975;2
39;Ain | 2016;2
40;Aisne | 2016;2
41;Allier | 2016;2
42;Alpes-de-Haute-Provence | 2016;2
43;Aude | 2016;1
44;Dordogne | 2016;0
45;Eure | 2016;0
46;Eure-et-Loir | 2016;0
47;Gers | 2016;3
48;Loire-Atlantique | 2016;3
49;Haute-Marne | 2016;0
50;Mayenne | 2016;0
51;Paris | 2016;3
52;Seine-Maritime | 2016;3
53;Vaucluse | 2016;3
54;Seine-Saint-Denis | 2016;3
55;Val-de-Marne | 2016;2
56;Ain | 1990;2
57;Aisne | 1990;2
58;Allier | 1990;2
59;Alpes-de-Haute-Provence | 1990;2
60;Aude | 1990;1
61;Dordogne | 1990;0
62;Eure | 1990;0
63;Eure-et-Loir | 1990;0
64;Gers | 1990;3
65;Loire-Atlantique | 1990;3
66;Haute-Marne | 1990;0
67;Mayenne | 1990;0
68;Paris | 1990;3
69;Seine-Maritime | 1990;3
70;Vaucluse | 1990;3
71;Seine-Saint-Denis | 1990;0
72;Val-de-Marne | 1990;2
73;Ain | 1999;2
74;Aisne | 1999;2
75;Allier | 1999;2
76;Alpes-de-Haute-Provence | 1999;2
77;Aude | 1999;1
78;Dordogne | 1999;0
79;Eure | 1999;0
80;Eure-et-Loir | 1999;0
81;Gers | 1999;3
82;Loire-Atlantique | 1999;3
83;Haute-Marne | 1999;0
84;Mayenne | 1999;0
85;Paris | 1999;3
86;Seine-Maritime | 1999;3
87;Vaucluse | 1999;3
88;Seine-Saint-Denis | 1999;3
89;Val-de-Marne | 1999;2
90;Ain | 2006;2
91;Aisne | 2006;2
92;Allier | 2006;2
93;Alpes-de-Haute-Provence | 2006;2
94;Aude | 2006;1
95;Dordogne | 2006;0
96;Eure | 2006;0
97;Eure-et-Loir | 2006;0
98;Gers | 2006;3
99;Loire-Atlantique | 2006;3
100;Haute-Marne | 2006;0
101;Mayenne | 2006;0
102;Paris | 2006;3
103;Seine-Maritime | 2006;3
104;Vaucluse | 2006;3
105;Seine-Saint-Denis | 2006;3
106;Val-de-Marne | 2006;2
107;Ain | 2011;2
108;Aisne | 2011;2
109;Allier | 2011;2
110;Alpes-de-Haute-Provence | 2011;2
111;Aude | 2011;1
112;Dordogne | 2011;0
113;Eure | 2011;0
114;Eure-et-Loir | 2011;0
115;Gers | 2011;3
116;Loire-Atlantique | 2011;3
117;Haute-Marne | 2011;0
118;Mayenne | 2011;0
119;Paris | 2011;3
120;Seine-Maritime | 2011;3
121;Vaucluse | 2011;3
122;Seine-Saint-Denis | 2011;3
123;Val-de-Marne | 2011;2
