;ID;CLUSTER
0;Île-de-France | 1968;1
1;Centre-Val de Loire | 1968;1
2;Bourgogne-Franche-Comté | 1968;1
3;Normandie | 1968;1
4;Hauts-de-France | 1968;1
5;Grand Est | 1968;1
6;Pays de la Loire | 1968;1
7;Bretagne | 1968;1
8;Nouvelle-Aquitaine | 1968;1
9;Occitanie | 1968;1
10;Auvergne-Rhône-Alpes | 1968;1
11;Provence-Alpes-Côte d'Azur | 1968;1
12;Corse | 1968;1
13;faute de frappe | 1968;0
14;Île-de-France | 1982;1
15;Centre-Val de Loire | 1982;1
16;Bourgogne-Franche-Comté | 1982;1
17;Normandie | 1982;1
18;Hauts-de-France | 1982;1
19;Grand Est | 1982;1
20;Pays de la Loire | 1982;1
21;Bretagne | 1982;1
22;Nouvelle-Aquitaine | 1982;1
23;Occitanie | 1982;1
24;Auvergne-Rhône-Alpes | 1982;1
25;Provence-Alpes-Côte d'Azur | 1982;1
26;Corse | 1982;1
27;faute de frappe | 1982;0
28;Île-de-France | 1975;1
29;Centre-Val de Loire | 1975;1
30;Bourgogne-Franche-Comté | 1975;1
31;Normandie | 1975;1
32;Hauts-de-France | 1975;1
33;Grand Est | 1975;1
34;Pays de la Loire | 1975;1
35;Bretagne | 1975;1
36;Nouvelle-Aquitaine | 1975;1
37;Occitanie | 1975;1
38;Auvergne-Rhône-Alpes | 1975;1
39;Provence-Alpes-Côte d'Azur | 1975;1
40;Corse | 1975;1
41;faute de frappe | 1975;0
42;Guadeloupe | 2016;1
43;Martinique | 2016;1
44;Guyane | 2016;1
45;La Réunion | 2016;1
46;Île-de-France | 2016;1
47;Centre-Val de Loire | 2016;1
48;Bourgogne-Franche-Comté | 2016;1
49;Normandie | 2016;1
50;Hauts-de-France | 2016;1
51;Grand Est | 2016;1
52;Pays de la Loire | 2016;1
53;Bretagne | 2016;1
54;Nouvelle-Aquitaine | 2016;1
55;Occitanie | 2016;1
56;Auvergne-Rhône-Alpes | 2016;1
57;Provence-Alpes-Côte d'Azur | 2016;1
58;Corse | 2016;1
59;faute de frappe | 2016;0
60;Guadeloupe | 1990;1
61;Martinique | 1990;1
62;Guyane | 1990;1
63;La Réunion | 1990;1
64;Île-de-France | 1990;1
65;Centre-Val de Loire | 1990;1
66;Bourgogne-Franche-Comté | 1990;1
67;Normandie | 1990;1
68;Hauts-de-France | 1990;1
69;Grand Est | 1990;1
70;Pays de la Loire | 1990;1
71;Bretagne | 1990;1
72;Nouvelle-Aquitaine | 1990;1
73;Occitanie | 1990;1
74;Auvergne-Rhône-Alpes | 1990;1
75;Provence-Alpes-Côte d'Azur | 1990;1
76;Corse | 1990;1
77;faute de frappe | 1990;0
78;Guadeloupe | 1999;1
79;Martinique | 1999;1
80;Guyane | 1999;1
81;La Réunion | 1999;1
82;Île-de-France | 1999;1
83;Centre-Val de Loire | 1999;1
84;Bourgogne-Franche-Comté | 1999;1
85;Normandie | 1999;1
86;Hauts-de-France | 1999;1
87;Grand Est | 1999;1
88;Pays de la Loire | 1999;1
89;Bretagne | 1999;1
90;Nouvelle-Aquitaine | 1999;1
91;Occitanie | 1999;1
92;Auvergne-Rhône-Alpes | 1999;1
93;Provence-Alpes-Côte d'Azur | 1999;1
94;Corse | 1999;1
95;faute de frappe | 1999;0
96;Guadeloupe | 2006;1
97;Martinique | 2006;1
98;Guyane | 2006;1
99;La Réunion | 2006;1
100;Île-de-France | 2006;1
101;Centre-Val de Loire | 2006;1
102;Bourgogne-Franche-Comté | 2006;1
103;Normandie | 2006;1
104;Hauts-de-France | 2006;1
105;Grand Est | 2006;1
106;Pays de la Loire | 2006;1
107;Bretagne | 2006;1
108;Nouvelle-Aquitaine | 2006;1
109;Occitanie | 2006;1
110;Auvergne-Rhône-Alpes | 2006;1
111;Provence-Alpes-Côte d'Azur | 2006;1
112;Corse | 2006;1
113;faute de frappe | 2006;0
114;Guadeloupe | 2011;1
115;Martinique | 2011;1
116;Guyane | 2011;1
117;La Réunion | 2011;1
118;Île-de-France | 2011;1
119;Centre-Val de Loire | 2011;1
120;Bourgogne-Franche-Comté | 2011;1
121;Normandie | 2011;1
122;Hauts-de-France | 2011;1
123;Grand Est | 2011;1
124;Pays de la Loire | 2011;1
125;Bretagne | 2011;1
126;Nouvelle-Aquitaine | 2011;1
127;Occitanie | 2011;1
128;Auvergne-Rhône-Alpes | 2011;1
129;Provence-Alpes-Côte d'Azur | 2011;1
130;Corse | 2011;1
131;faute de frappe | 2011;0
