;index;ANS;REG_NAIS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;Agriculteurs;Artisans-commerçants-chefs d'entreprise;Cadres et professions intellectuelles supérieures;Professions intermédiaires;Employés;Ouvriers;Anciens actifs_x;Inactifs et chômeurs n'ayant jamais travaillé;Agriculture;Industrie;BTP;Tertiaire;Inactifs ou chômeurs;Actifs ayant un emploi;Chômeurs;Étudiants ou élèves;Militaires du contingent;Anciens actifs_y;Autres inactifs;Personnes de moins de 15 ans (17 ans pour le RP 1975) ou étudiants - élèves;Aucun diplôme ou au mieux BEPC - brevet des collèges ou DNB;CAP - BEP;Baccalauréat (général - techno - pro);Diplôme d'études supérieures;Autres nationalités;Français de naissance;Français par acquisition;Espagnols;Italiens;Portugais;Autres nationalités d'Europe;Autres nationalités d'Afrique;Algériens;Marocains;Tunisiens;Turcs;Marié;Non marié;Homme;Femme;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;REGION
0;0;1968;01;60.0;144.0;140.0;160.0;260.0;280.0;288.0;252.0;300.0;324.0;308.0;416.0;332.0;360.0;340.0;384.0;444.0;416.0;476.0;648.0;1072.0;956.0;1040.0;816.0;756.0;856.0;1060.0;788.0;880.0;588.0;732.0;676.0;580.0;684.0;500.0;440.0;380.0;524.0;368.0;400.0;332.0;392.0;332.0;332.0;300.0;248.0;256.0;200.0;168.0;148.0;180.0;128.0;140.0;164.0;172.0;120.0;132.0;92.0;176.0;108.0;136.0;104.0;108.0;124.0;84.0;96.0;88.0;68.0;100.0;64.0;68.0;136.0;44.0;64.0;68.0;52.0;56.0;60.0;32.0;40.0;32.0;36.0;24.0;28.0;16.0;12.0;16.0;8.0;8.0;16.0;;;;4.0;;;;4.0;;4.0;236.0;780.0;1804.0;6984.0;5056.0;1012.0;10468.0;20.0;3040.0;900.0;10008.0;12376.0;13968.0;948.0;2560.0;928.0;1012.0;6928.0;6256.0;15852.0;2164.0;1260.0;812.0;8.0;26244.0;32.0;24.0;8.0;4.0;20.0;;4.0;;;;11088.0;15256.0;14064.0;12280.0;;;;;;;;;;;;;;;;;;;;;;;Guadeloupe
1;1;1968;02;48.0;124.0;176.0;200.0;268.0;240.0;300.0;320.0;352.0;316.0;392.0;360.0;452.0;468.0;392.0;444.0;416.0;444.0;592.0;892.0;1572.0;1152.0;1188.0;1132.0;1156.0;1084.0;1208.0;1152.0;1008.0;1104.0;1084.0;964.0;840.0;840.0;812.0;620.0;632.0;512.0;616.0;644.0;500.0;504.0;468.0;364.0;344.0;372.0;456.0;344.0;320.0;196.0;236.0;192.0;256.0;200.0;188.0;136.0;180.0;156.0;164.0;232.0;252.0;160.0;160.0;116.0;116.0;204.0;160.0;124.0;104.0;120.0;116.0;96.0;128.0;72.0;68.0;68.0;72.0;80.0;28.0;44.0;32.0;24.0;20.0;20.0;24.0;12.0;8.0;4.0;20.0;16.0;;4.0;8.0;;4.0;4.0;4.0;;;36.0;344.0;1172.0;2288.0;10460.0;5796.0;1352.0;13368.0;68.0;3472.0;1052.0;14576.0;15648.0;19168.0;972.0;3224.0;1400.0;1352.0;8700.0;7312.0;21296.0;3152.0;1660.0;1396.0;16.0;34600.0;40.0;32.0;4.0;4.0;36.0;4.0;76.0;4.0;;;15876.0;18940.0;18540.0;16276.0;;;;;;;;;;;;;;;;;;;;;;;Martinique
2;2;1968;03;8.0;36.0;32.0;24.0;12.0;20.0;28.0;40.0;60.0;36.0;64.0;44.0;60.0;88.0;56.0;72.0;76.0;64.0;76.0;104.0;108.0;108.0;128.0;116.0;80.0;124.0;88.0;100.0;84.0;92.0;72.0;112.0;92.0;64.0;88.0;76.0;44.0;76.0;56.0;88.0;80.0;48.0;52.0;40.0;64.0;52.0;80.0;36.0;52.0;40.0;56.0;44.0;48.0;88.0;64.0;44.0;64.0;84.0;56.0;40.0;48.0;28.0;40.0;40.0;16.0;24.0;44.0;24.0;12.0;12.0;12.0;16.0;12.0;20.0;16.0;12.0;4.0;16.0;16.0;8.0;;8.0;;;4.0;8.0;4.0;;4.0;;4.0;;;;;;;4.0;;24.0;84.0;224.0;444.0;1084.0;412.0;308.0;1804.0;24.0;348.0;120.0;1696.0;2196.0;2188.0;84.0;488.0;44.0;308.0;1272.0;1044.0;2228.0;504.0;304.0;304.0;;4344.0;12.0;4.0;8.0;8.0;;8.0;;;;;2148.0;2236.0;2284.0;2100.0;;;;;;;;;;;;;;;;;;;;;;;Guyane
3;3;1968;04;24.0;112.0;152.0;136.0;180.0;204.0;196.0;216.0;168.0;156.0;176.0;200.0;212.0;236.0;232.0;260.0;172.0;356.0;476.0;616.0;1372.0;792.0;560.0;532.0;504.0;516.0;424.0;388.0;380.0;344.0;236.0;256.0;232.0;252.0;200.0;232.0;240.0;192.0;160.0;124.0;180.0;196.0;144.0;152.0;124.0;172.0;56.0;148.0;92.0;100.0;144.0;96.0;96.0;100.0;104.0;92.0;88.0;100.0;100.0;88.0;100.0;108.0;120.0;76.0;60.0;72.0;80.0;112.0;76.0;132.0;80.0;56.0;64.0;68.0;80.0;48.0;60.0;60.0;56.0;40.0;44.0;52.0;12.0;16.0;20.0;12.0;12.0;12.0;4.0;4.0;4.0;4.0;4.0;;;4.0;8.0;;;64.0;96.0;400.0;872.0;3252.0;2240.0;992.0;8632.0;112.0;1084.0;656.0;4720.0;9976.0;6572.0;372.0;1556.0;1472.0;992.0;5584.0;3964.0;10064.0;1252.0;672.0;596.0;4.0;16320.0;104.0;12.0;;4.0;48.0;4.0;48.0;4.0;;;6696.0;9852.0;8680.0;7868.0;;;;;;;;;;;;;;;;;;;;;;;La Réunion
4;4;1968;11;139980.0;137480.0;136992.0;138852.0;139516.0;131224.0;129656.0;128508.0;127188.0;124412.0;119828.0;117632.0;116064.0;113720.0;113664.0;114168.0;114824.0;119052.0;118728.0;117852.0;116624.0;111196.0;78392.0;64308.0;66320.0;62092.0;57464.0;53824.0;59136.0;68392.0;68912.0;69908.0;70368.0;74172.0;75608.0;78564.0;80384.0;81312.0;76720.0;75936.0;76236.0;74820.0;73116.0;69592.0;68044.0;69512.0;71824.0;75472.0;55124.0;38884.0;39132.0;34136.0;32628.0;55652.0;59228.0;58424.0;55192.0;54004.0;53148.0;53096.0;51676.0;49996.0;48896.0;48304.0;47064.0;46932.0;45504.0;42056.0;39148.0;36032.0;34784.0;32968.0;29176.0;28248.0;27092.0;23576.0;22664.0;20224.0;19208.0;17348.0;15732.0;13200.0;12040.0;10404.0;8808.0;7132.0;5996.0;4372.0;3532.0;2764.0;2284.0;1476.0;1192.0;932.0;584.0;524.0;260.0;156.0;352.0;37808.0;224240.0;222900.0;435180.0;699196.0;723248.0;470752.0;3145548.0;62796.0;777528.0;185780.0;1251308.0;3681460.0;2277412.0;67580.0;490120.0;30032.0;470752.0;2622976.0;2315116.0;2590020.0;532332.0;303476.0;217928.0;3788.0;5820676.0;35620.0;16496.0;14820.0;9496.0;10576.0;1240.0;38600.0;3520.0;3828.0;212.0;2408576.0;3550296.0;2909576.0;3049296.0;;;;;;;;;;;;;;;;;;;;;;;Île-de-France
5;5;1968;24;32464.0;31976.0;30992.0;31408.0;31304.0;30224.0;30188.0;30340.0;31104.0;30284.0;31088.0;31016.0;31108.0;31392.0;31996.0;32516.0;31888.0;34024.0;33040.0;32804.0;33024.0;31756.0;25112.0;25104.0;24420.0;22496.0;20436.0;20084.0;23580.0;21660.0;21764.0;22432.0;22832.0;23620.0;23152.0;24472.0;24076.0;24452.0;24688.0;24536.0;24744.0;24796.0;24368.0;24388.0;24800.0;25276.0;25680.0;26688.0;18404.0;16124.0;12788.0;12048.0;12564.0;23112.0;23012.0;23432.0;22524.0;23376.0;22972.0;22476.0;21584.0;22532.0;21952.0;21560.0;20820.0;20840.0;20536.0;18900.0;18536.0;17104.0;16912.0;16404.0;13796.0;13872.0;13676.0;12740.0;12228.0;11256.0;10964.0;10092.0;9088.0;8292.0;7388.0;6332.0;5788.0;5128.0;4092.0;3188.0;2656.0;1988.0;1684.0;1156.0;840.0;664.0;452.0;312.0;152.0;136.0;140.0;117992.0;89168.0;32688.0;90352.0;192088.0;318696.0;231736.0;871484.0;158692.0;224188.0;85412.0;358352.0;1117560.0;826644.0;14656.0;96724.0;9200.0;231736.0;765244.0;541828.0;1164196.0;140624.0;61960.0;35596.0;104.0;1933108.0;4108.0;2340.0;620.0;1344.0;1300.0;52.0;760.0;444.0;24.0;;933104.0;1011100.0;938580.0;1005624.0;;;;;;;;;;;;;;;;;;;;;;;Centre-Val de Loire
6;6;1968;27;41896.0;41956.0;43024.0;43564.0;43852.0;40860.0;40852.0;40512.0;40532.0;40820.0;40628.0;40084.0;40984.0;40704.0;41000.0;40568.0;41592.0;41968.0;43128.0;42212.0;41896.0;40892.0;31748.0;32204.0;28892.0;26076.0;24684.0;25268.0;30520.0;28024.0;27852.0;28676.0;28572.0;29900.0;30152.0;31240.0;32072.0;32960.0;32004.0;32116.0;32864.0;32800.0;32584.0;31220.0;31564.0;31232.0;33076.0;34072.0;23480.0;20288.0;17344.0;15748.0;15872.0;30176.0;28924.0;29528.0;27940.0;29204.0;29420.0;29924.0;28588.0;29052.0;27948.0;28440.0;27556.0;27492.0;28004.0;25036.0;24560.0;22424.0;22112.0;20564.0;18304.0;17776.0;16968.0;15456.0;14636.0;14016.0;13516.0;12016.0;11180.0;9512.0;8924.0;8068.0;6660.0;5752.0;4888.0;3724.0;3124.0;2448.0;1928.0;1440.0;964.0;832.0;388.0;328.0;176.0;148.0;136.0;148468.0;100412.0;48252.0;127576.0;231072.0;368568.0;290216.0;1194264.0;171988.0;318360.0;81080.0;439308.0;1498092.0;1010736.0;13872.0;142932.0;12944.0;290216.0;1038128.0;733000.0;1435544.0;191744.0;93720.0;54820.0;128.0;2480960.0;10068.0;3308.0;6468.0;1660.0;2364.0;16.0;3672.0;152.0;28.0;4.0;1174204.0;1334624.0;1202728.0;1306100.0;;;;;;;;;;;;;;;;;;;;;;;Bourgogne-Franche-Comté
7;7;1968;28;50716.0;50880.0;51728.0;52356.0;52932.0;50576.0;50760.0;50816.0;51504.0;50580.0;51720.0;51132.0;51832.0;51904.0;51828.0;53116.0;53120.0;52432.0;54344.0;53280.0;51228.0;49276.0;37868.0;33768.0;33932.0;30872.0;29024.0;30292.0;36536.0;35688.0;36504.0;36876.0;36560.0;38876.0;37612.0;38972.0;39832.0;39976.0;38056.0;37812.0;38608.0;38276.0;38300.0;37140.0;36896.0;35880.0;38084.0;39728.0;29124.0;23752.0;20148.0;18328.0;18408.0;30708.0;31080.0;30724.0;29036.0;29772.0;29436.0;28596.0;29100.0;27692.0;27548.0;27344.0;26104.0;25280.0;24724.0;22940.0;21608.0;20232.0;19060.0;18568.0;15280.0;15192.0;14300.0;12916.0;12540.0;12032.0;11504.0;9688.0;8628.0;7052.0;6536.0;5880.0;4584.0;4200.0;3512.0;2688.0;2132.0;1704.0;1272.0;1004.0;572.0;440.0;300.0;220.0;104.0;80.0;160.0;188176.0;112576.0;43264.0;129640.0;280632.0;490504.0;253528.0;1355540.0;245940.0;336692.0;116720.0;523252.0;1631256.0;1222604.0;23856.0;146868.0;15508.0;253528.0;1191496.0;880552.0;1653340.0;194856.0;84040.0;41072.0;144.0;2844536.0;4440.0;800.0;692.0;424.0;1464.0;44.0;1148.0;96.0;72.0;;1303856.0;1550004.0;1364124.0;1489736.0;;;;;;;;;;;;;;;;;;;;;;;Normandie
8;8;1968;32;101528.0;100768.0;101904.0;103140.0;103032.0;100124.0;100444.0;100536.0;99740.0;99124.0;99808.0;99192.0;100876.0;100768.0;98768.0;101988.0;101076.0;102908.0;103156.0;101248.0;97796.0;98776.0;69724.0;62880.0;60192.0;53376.0;41808.0;49432.0;64364.0;64572.0;66968.0;64908.0;66456.0;68732.0;69648.0;71380.0;76796.0;76568.0;72764.0;73248.0;74612.0;73100.0;74940.0;75312.0;72748.0;69408.0;71440.0;73588.0;44140.0;22100.0;24100.0;24100.0;27196.0;58552.0;59424.0;61564.0;58084.0;59200.0;60136.0;59388.0;58720.0;56864.0;55292.0;55340.0;53096.0;52940.0;50136.0;49692.0;45732.0;43264.0;41064.0;38624.0;34252.0;33040.0;30088.0;27476.0;26036.0;23420.0;21992.0;19584.0;18408.0;15348.0;13336.0;11312.0;9856.0;8592.0;7012.0;5484.0;4120.0;3420.0;2836.0;1908.0;1348.0;856.0;616.0;436.0;316.0;160.0;236.0;144460.0;191508.0;88236.0;260880.0;463064.0;909676.0;531328.0;2866748.0;201332.0;770184.0;163964.0;878380.0;3442040.0;2013860.0;48492.0;310072.0;29056.0;531328.0;2523092.0;1743888.0;3078936.0;370588.0;175452.0;87036.0;264.0;5356260.0;57916.0;2940.0;11340.0;1528.0;10616.0;88.0;13884.0;968.0;72.0;24.0;2528888.0;2927012.0;2636840.0;2819060.0;;;;;;;;;;;;;;;;;;;;;;;Hauts-de-France
9;9;1968;44;89140.0;90684.0;92660.0;94540.0;95508.0;90820.0;91052.0;89928.0;89176.0;89724.0;87856.0;87624.0;88172.0;87724.0;85540.0;87044.0;84336.0;86476.0;85864.0;82504.0;80020.0;77588.0;53244.0;47736.0;48212.0;48500.0;45224.0;40064.0;56368.0;60276.0;60556.0;59724.0;59268.0;63120.0;61756.0;64360.0;66640.0;67904.0;64252.0;65292.0;65772.0;63336.0;62708.0;61488.0;59912.0;58740.0;62048.0;60236.0;41540.0;25636.0;23872.0;25976.0;28116.0;50660.0;53004.0;55280.0;52124.0;54396.0;54184.0;54196.0;53592.0;51412.0;50752.0;50088.0;47848.0;47512.0;46484.0;42288.0;40144.0;37380.0;35752.0;33620.0;29976.0;28396.0;26660.0;23488.0;22372.0;20488.0;19196.0;17000.0;15904.0;13140.0;11572.0;9888.0;8932.0;7496.0;6152.0;4592.0;3544.0;3144.0;2536.0;1636.0;1100.0;876.0;652.0;416.0;200.0;120.0;240.0;176768.0;153596.0;90136.0;239192.0;436268.0;752432.0;457072.0;2490824.0;212180.0;648260.0;153112.0;806820.0;2975916.0;1820372.0;29676.0;254896.0;22812.0;457072.0;2211460.0;1545968.0;2556404.0;426124.0;172428.0;95364.0;356.0;4682292.0;55712.0;5660.0;31068.0;1492.0;10048.0;56.0;8720.0;348.0;524.0;12.0;2165196.0;2631092.0;2302412.0;2493876.0;;;;;;;;;;;;;;;;;;;;;;;Grand Est
