;index;ANS;REG_RAN_18;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;Agriculteurs;Artisans-commerçants-chefs d'entreprise;Cadres et professions intellectuelles supérieures;Professions intermédiaires;Employés;Ouvriers;Anciens actifs_x;Inactifs et chômeurs n'ayant jamais travaillé;Agriculture;Industrie;BTP;Tertiaire;Inactifs ou chômeurs;Actifs ayant un emploi;Chômeurs;Étudiants ou élèves;Militaires du contingent;Anciens actifs_y;Autres inactifs;Personnes de moins de 15 ans (17 ans pour le RP 1975) ou étudiants - élèves;Aucun diplôme ou au mieux BEPC - brevet des collèges ou DNB;CAP - BEP;Baccalauréat (général - techno - pro);Diplôme d'études supérieures;Autres nationalités;Français de naissance;Français par acquisition;Espagnols;Italiens;Portugais;Autres nationalités d'Europe;Autres nationalités d'Afrique;Algériens;Marocains;Tunisiens;Turcs;Marié;Non marié;Homme;Femme;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;REGION
0;0;1968;01;572.0;580.0;372.0;416.0;288.0;264.0;260.0;264.0;260.0;276.0;276.0;308.0;200.0;264.0;244.0;220.0;232.0;304.0;376.0;516.0;912.0;824.0;836.0;736.0;584.0;596.0;584.0;436.0;496.0;228.0;316.0;272.0;260.0;228.0;172.0;140.0;120.0;172.0;120.0;172.0;156.0;168.0;116.0;92.0;128.0;80.0;104.0;88.0;52.0;52.0;100.0;28.0;40.0;48.0;36.0;36.0;40.0;24.0;24.0;64.0;32.0;16.0;20.0;20.0;8.0;16.0;12.0;12.0;4.0;12.0;4.0;8.0;12.0;8.0;8.0;4.0;;4.0;;12.0;4.0;4.0;4.0;;;;4.0;;4.0;;;;;;;;;;;;64.0;300.0;740.0;3976.0;2156.0;132.0;9036.0;8.0;1080.0;496.0;5172.0;9648.0;6756.0;516.0;1816.0;848.0;132.0;6336.0;6460.0;7936.0;1140.0;576.0;292.0;8.0;16264.0;80.0;12.0;4.0;;32.0;;4.0;;;;4844.0;11560.0;8296.0;8108.0;;;;;;;;;;;;;;;;;;;;;;;Guadeloupe
1;1;1968;02;712.0;560.0;568.0;416.0;392.0;280.0;300.0;280.0;284.0;296.0;280.0;288.0;308.0;316.0;316.0;304.0;332.0;336.0;420.0;724.0;1348.0;968.0;936.0;888.0;848.0;676.0;656.0;544.0;500.0;432.0;460.0;360.0;280.0;300.0;276.0;192.0;224.0;216.0;184.0;176.0;152.0;188.0;116.0;128.0;128.0;132.0;96.0;116.0;88.0;72.0;60.0;32.0;76.0;56.0;60.0;48.0;52.0;44.0;40.0;40.0;56.0;24.0;40.0;20.0;36.0;16.0;12.0;12.0;12.0;12.0;8.0;20.0;16.0;12.0;8.0;4.0;16.0;16.0;4.0;;;8.0;;;;;;;;;;;;;;;;;;8.0;104.0;424.0;900.0;5164.0;2420.0;192.0;11040.0;32.0;1284.0;552.0;6672.0;11712.0;8540.0;516.0;2276.0;1248.0;192.0;7480.0;7636.0;9944.0;1544.0;712.0;416.0;8.0;20136.0;72.0;;4.0;8.0;24.0;;;;;;6196.0;14056.0;10328.0;9924.0;;;;;;;;;;;;;;;;;;;;;;;Martinique
2;2;1968;03;56.0;56.0;64.0;40.0;48.0;20.0;16.0;36.0;32.0;24.0;36.0;24.0;32.0;36.0;36.0;24.0;64.0;40.0;44.0;52.0;52.0;84.0;104.0;92.0;56.0;64.0;28.0;48.0;36.0;64.0;36.0;28.0;20.0;32.0;16.0;20.0;12.0;20.0;20.0;16.0;48.0;32.0;28.0;12.0;48.0;28.0;28.0;36.0;8.0;20.0;8.0;32.0;;20.0;8.0;12.0;32.0;16.0;4.0;;16.0;8.0;;4.0;;12.0;12.0;8.0;;8.0;4.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;8.0;100.0;152.0;520.0;156.0;48.0;1144.0;;80.0;36.0;780.0;1232.0;896.0;40.0;300.0;32.0;48.0;812.0;820.0;868.0;244.0;112.0;84.0;;2068.0;20.0;4.0;8.0;;20.0;8.0;;;;;808.0;1320.0;1096.0;1032.0;;;;;;;;;;;;;;;;;;;;;;;Guyane
3;3;1968;04;416.0;388.0;364.0;272.0;248.0;188.0;168.0;188.0;136.0;144.0;148.0;176.0;160.0;220.0;164.0;220.0;156.0;276.0;444.0;648.0;1288.0;724.0;508.0;500.0;420.0;412.0;272.0;284.0;260.0;228.0;140.0;156.0;108.0;128.0;160.0;88.0;128.0;100.0;104.0;96.0;112.0;92.0;100.0;104.0;56.0;92.0;84.0;56.0;72.0;48.0;44.0;52.0;28.0;60.0;48.0;40.0;24.0;24.0;24.0;28.0;20.0;24.0;24.0;28.0;16.0;12.0;28.0;12.0;12.0;16.0;12.0;4.0;8.0;4.0;;;;4.0;4.0;4.0;4.0;4.0;4.0;;;;4.0;;;;;4.0;;;;;;;;32.0;52.0;204.0;528.0;2496.0;1452.0;160.0;7744.0;64.0;564.0;508.0;3368.0;8164.0;4504.0;276.0;1404.0;1396.0;160.0;4928.0;4648.0;6336.0;1072.0;400.0;212.0;8.0;12508.0;124.0;12.0;;;4.0;8.0;;;4.0;;3736.0;8932.0;6720.0;5948.0;;;;;;;;;;;;;;;;;;;;;;;La Réunion
4;4;1968;11;119564.0;123364.0;126256.0;131732.0;136088.0;132492.0;132420.0;131712.0;132208.0;129408.0;125532.0;125852.0;125628.0;124476.0;124656.0;126112.0;126720.0;131200.0;132352.0;133716.0;134028.0;131016.0;98960.0;97588.0;101332.0;99864.0;93240.0;97380.0;111328.0;116216.0;119700.0;122188.0;122136.0;127332.0;127916.0;131112.0;132480.0;133948.0;128972.0;128376.0;128540.0;125580.0;126016.0;122180.0;120780.0;121260.0;124688.0;127824.0;91992.0;73020.0;66960.0;61520.0;64204.0;104552.0;104892.0;107468.0;102696.0;103464.0;103064.0;104520.0;101724.0;99440.0;97964.0;96248.0;93068.0;91408.0;88196.0;81508.0;76648.0;71388.0;66912.0;63004.0;55236.0;53600.0;50536.0;44380.0;41480.0;37880.0;36468.0;32984.0;30040.0;24804.0;22472.0;19408.0;16872.0;13716.0;11680.0;9036.0;7272.0;5640.0;4792.0;3024.0;2372.0;1844.0;1272.0;836.0;532.0;336.0;600.0;27412.0;360632.0;382000.0;680236.0;1217044.0;1245668.0;894760.0;3760688.0;56148.0;1255060.0;323620.0;2170112.0;4763500.0;3804940.0;110940.0;558360.0;33824.0;894760.0;3165616.0;2381116.0;4575072.0;758452.0;468232.0;385568.0;19852.0;7818280.0;262436.0;80976.0;88232.0;36688.0;88344.0;7936.0;125480.0;19628.0;18164.0;2424.0;4199228.0;4369212.0;4114948.0;4453492.0;;;;;;;;;;;;;;;;;;;;;;;Île-de-France
5;5;1968;24;30160.0;30284.0;29664.0;30508.0;30652.0;30124.0;30600.0;31020.0;31776.0;31148.0;32120.0;32044.0;32024.0;32484.0;33100.0;32936.0;32980.0;34744.0;33564.0;33484.0;33020.0;31632.0;24104.0;22068.0;22228.0;20412.0;18296.0;17200.0;20328.0;20396.0;20204.0;21092.0;21512.0;22200.0;22328.0;23612.0;23476.0;23940.0;23276.0;23308.0;23604.0;23380.0;23132.0;22996.0;23720.0;23752.0;24344.0;24916.0;16912.0;13348.0;11844.0;11292.0;11800.0;21768.0;22620.0;22472.0;21272.0;21980.0;21944.0;21240.0;20632.0;21480.0;20836.0;20696.0;20276.0;20452.0;19900.0;18812.0;17732.0;16576.0;16460.0;16116.0;13416.0;13400.0;13040.0;12172.0;11500.0;11004.0;10544.0;9832.0;8776.0;7624.0;7180.0;6160.0;5476.0;4828.0;3892.0;2884.0;2580.0;1908.0;1504.0;1112.0;812.0;584.0;412.0;312.0;160.0;128.0;176.0;124836.0;80780.0;25116.0;80580.0;164872.0;315656.0;222324.0;865604.0;169820.0;206248.0;88012.0;314220.0;1101468.0;778300.0;13816.0;97332.0;8968.0;222324.0;759028.0;542576.0;1125928.0;127176.0;57120.0;26968.0;540.0;1834240.0;16768.0;9304.0;3604.0;3960.0;8652.0;140.0;2004.0;300.0;228.0;28.0;887104.0;992664.0;919104.0;960664.0;;;;;;;;;;;;;;;;;;;;;;;Centre-Val de Loire
6;6;1968;27;39764.0;40484.0;41416.0;41812.0;42740.0;40520.0;41108.0;41236.0;41424.0;41796.0;41804.0;41444.0;42384.0;42116.0;42624.0;42164.0;42856.0;43212.0;44452.0;43692.0;42908.0;41228.0;31660.0;29944.0;28412.0;26244.0;24340.0;23312.0;27692.0;27096.0;27288.0;27332.0;27300.0;28700.0;28568.0;29796.0;30508.0;31488.0;30252.0;30420.0;30912.0;31240.0;30832.0;29924.0;30516.0;29948.0;31304.0;31720.0;21756.0;17404.0;15608.0;14588.0;15028.0;27284.0;27192.0;27680.0;26112.0;27092.0;26860.0;27280.0;26356.0;26724.0;25136.0;26100.0;25616.0;25940.0;25868.0;23256.0;22976.0;20872.0;20408.0;19444.0;16976.0;16640.0;15832.0;14324.0;13740.0;12868.0;12404.0;11084.0;10012.0;8644.0;8068.0;7028.0;6032.0;5116.0;4436.0;3308.0;2716.0;2240.0;1680.0;1276.0;812.0;720.0;360.0;304.0;160.0;156.0;88.0;154212.0;95148.0;33876.0;109368.0;194492.0;384640.0;265904.0;1181896.0;181800.0;314428.0;89668.0;373964.0;1459676.0;959860.0;12044.0;146124.0;13060.0;265904.0;1022544.0;736292.0;1386712.0;176732.0;79548.0;40252.0;416.0;2306324.0;44724.0;11164.0;25296.0;4696.0;16464.0;120.0;9296.0;748.0;240.0;48.0;1111596.0;1307940.0;1180580.0;1238956.0;;;;;;;;;;;;;;;;;;;;;;;Bourgogne-Franche-Comté
7;7;1968;28;49616.0;50004.0;50816.0;51328.0;51944.0;50308.0;50516.0;50656.0;51716.0;50576.0;51608.0;51096.0;51652.0;51552.0;51200.0;52736.0;52268.0;51540.0;53560.0;52756.0;51032.0;48324.0;37268.0;33416.0;32396.0;29164.0;26140.0;26860.0;30896.0;31396.0;31820.0;32700.0;32240.0;34608.0;33140.0;35020.0;35800.0;36208.0;34376.0;34352.0;35236.0;35572.0;35588.0;35108.0;34524.0;34180.0;35240.0;36556.0;26128.0;19956.0;18236.0;16284.0;16824.0;28488.0;29504.0;29308.0;27824.0;28600.0;28316.0;27236.0;27804.0;26608.0;26512.0;26180.0;25312.0;24504.0;23884.0;22176.0;20484.0;19632.0;18872.0;18064.0;15148.0;14912.0;13924.0;12580.0;11776.0;11472.0;10844.0;9404.0;8232.0;6660.0;6372.0;5732.0;4460.0;3900.0;3304.0;2484.0;1920.0;1600.0;1220.0;880.0;556.0;416.0;268.0;212.0;112.0;88.0;184.0;194424.0;104036.0;37268.0;121496.0;240548.0;460592.0;244648.0;1318992.0;252860.0;303968.0;110508.0;472208.0;1582460.0;1139544.0;20536.0;146756.0;15892.0;244648.0;1154628.0;873932.0;1551856.0;179272.0;80704.0;36240.0;392.0;2676584.0;19552.0;4076.0;4400.0;2144.0;9488.0;800.0;3856.0;388.0;316.0;8.0;1216768.0;1505236.0;1318276.0;1403728.0;;;;;;;;;;;;;;;;;;;;;;;Normandie
8;8;1968;32;100860.0;100368.0;101512.0;102628.0;102640.0;100296.0;101440.0;101776.0;100780.0;100084.0;101000.0;100172.0;102084.0;101716.0;99280.0;102552.0;101308.0;103516.0;103640.0;101852.0;98768.0;99836.0;70544.0;64540.0;60572.0;54600.0;43576.0;52396.0;61448.0;61920.0;63544.0;61988.0;63460.0;65292.0;66264.0;67320.0;72264.0;72272.0;68532.0;69232.0;69716.0;68820.0;69076.0;69664.0;68332.0;67252.0;69920.0;73616.0;48988.0;32772.0;28304.0;26608.0;29360.0;56780.0;55940.0;57024.0;53924.0;54648.0;55036.0;54544.0;54148.0;52856.0;51544.0;51436.0;49628.0;49292.0;47048.0;46400.0;43476.0;40348.0;38716.0;36288.0;32888.0;30956.0;28336.0;25344.0;24360.0;21676.0;20556.0;18312.0;17224.0;14412.0;12432.0;10768.0;9020.0;7960.0;6404.0;4972.0;3764.0;3048.0;2540.0;1740.0;1200.0;752.0;544.0;408.0;252.0;128.0;200.0;144900.0;185228.0;70432.0;234240.0;402640.0;929396.0;493180.0;2879556.0;206228.0;768360.0;164060.0;787284.0;3413640.0;1925932.0;45648.0;310136.0;29156.0;493180.0;2535520.0;1750580.0;3013788.0;346012.0;158308.0;70884.0;600.0;5015936.0;149368.0;8400.0;37056.0;4276.0;89500.0;440.0;30328.0;3316.0;300.0;52.0;2439400.0;2900172.0;2603256.0;2736316.0;;;;;;;;;;;;;;;;;;;;;;;Hauts-de-France
9;9;1968;44;85172.0;86560.0;89280.0;91836.0;93200.0;90112.0;91968.0;90964.0;90652.0;91068.0;90044.0;90284.0;90980.0;90328.0;88044.0;89852.0;86992.0;89580.0;89056.0;86868.0;84116.0;81648.0;57360.0;54452.0;54928.0;56052.0;52924.0;50248.0;60544.0;60224.0;60732.0;60440.0;60220.0;63028.0;62632.0;64996.0;66984.0;68356.0;64860.0;65588.0;65536.0;64120.0;62836.0;61616.0;60116.0;59292.0;61960.0;60996.0;43768.0;29884.0;26944.0;28644.0;30776.0;50256.0;51368.0;53224.0;49856.0;51712.0;51380.0;51300.0;51024.0;49236.0;48480.0;47912.0;45952.0;45868.0;44656.0;41280.0;38932.0;36660.0;34492.0;33068.0;28608.0;27272.0;25812.0;22460.0;21588.0;19656.0;18336.0;16008.0;15188.0;12280.0;10876.0;9256.0;8192.0;6980.0;5652.0;4168.0;3132.0;2708.0;2216.0;1452.0;1052.0;780.0;576.0;348.0;184.0;88.0;160.0;179720.0;146196.0;78880.0;226536.0;412152.0;834016.0;435836.0;2528008.0;218840.0;686648.0;178268.0;767760.0;2989828.0;1851516.0;27704.0;263928.0;23988.0;435836.0;2238372.0;1553584.0;2614996.0;424884.0;164980.0;82900.0;848.0;4469252.0;159184.0;15040.0;107748.0;4628.0;54860.0;280.0;27680.0;1192.0;524.0;108.0;2200168.0;2641176.0;2372332.0;2469012.0;;;;;;;;;;;;;;;;;;;;;;;Grand Est
