;index;ANS;REG_RES_18;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;Agriculteurs;Artisans-commerçants-chefs d'entreprise;Cadres et professions intellectuelles supérieures;Professions intermédiaires;Employés;Ouvriers;Anciens actifs_x;Inactifs et chômeurs n'ayant jamais travaillé;Agriculture;Industrie;BTP;Tertiaire;Inactifs ou chômeurs;Actifs ayant un emploi;Chômeurs;Étudiants ou élèves;Militaires du contingent;Anciens actifs_y;Autres inactifs;Personnes de moins de 15 ans (17 ans pour le RP 1975) ou étudiants - élèves;Aucun diplôme ou au mieux BEPC - brevet des collèges ou DNB;CAP - BEP;Baccalauréat (général - techno - pro);Diplôme d'études supérieures;Autres nationalités;Français de naissance;Français par acquisition;Espagnols;Italiens;Portugais;Autres nationalités d'Europe;Autres nationalités d'Afrique;Algériens;Marocains;Tunisiens;Turcs;Marié;Non marié;Homme;Femme;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;REGION
0;0;1968;11;143648.0;141360.0;141044.0;143056.0;144256.0;138044.0;137784.0;138192.0;138592.0;135976.0;132172.0;132080.0;131832.0;131196.0;130864.0;133776.0;136100.0;144384.0;152748.0;162196.0;169800.0;177088.0;141120.0;141772.0;142860.0;137596.0;125052.0;125944.0;137556.0;134120.0;134808.0;136228.0;133840.0;137364.0;137744.0;140840.0;140736.0;142724.0;136892.0;136092.0;135716.0;132268.0;132080.0;128344.0;126456.0;126780.0;129104.0;132200.0;95392.0;75684.0;69364.0;63816.0;65992.0;105652.0;105336.0;107128.0;101532.0;102284.0;101108.0;102208.0;98448.0;95636.0;93688.0;91816.0;88448.0;85920.0;82476.0;76092.0;71676.0;67048.0;63344.0;60104.0;53316.0;52220.0;49476.0;43732.0;40940.0;37380.0;36196.0;32836.0;29924.0;24788.0;22564.0;19360.0;16860.0;13736.0;11664.0;9112.0;7292.0;5548.0;4700.0;3004.0;2364.0;1788.0;1252.0;840.0;532.0;340.0;620.0;23652.0;349728.0;413932.0;741088.0;1418820.0;1446652.0;822860.0;4018268.0;56744.0;1363128.0;390336.0;2461420.0;4963372.0;4271628.0;125804.0;625888.0;36056.0;822860.0;3352764.0;2582376.0;4890740.0;823056.0;515716.0;423112.0;38976.0;8133136.0;284036.0;144528.0;105504.0;123648.0;128472.0;20344.0;176204.0;38296.0;38020.0;3836.0;4441752.0;4793248.0;4476464.0;4758536.0;;;;;;;;;;;;;;;;;;;;;;;Île-de-France
1;1;1968;24;33368.0;33436.0;33116.0;33840.0;34008.0;33064.0;33456.0;33600.0;34280.0;33288.0;34228.0;33724.0;33968.0;34180.0;34564.0;34180.0;33812.0;35412.0;33868.0;33944.0;33208.0;30996.0;24024.0;22252.0;22644.0;21480.0;19844.0;19120.0;22356.0;22804.0;22436.0;23728.0;23896.0;24544.0;24352.0;25712.0;25316.0;25708.0;25368.0;25044.0;25092.0;24856.0;24696.0;24572.0;25176.0;24900.0;25496.0;26084.0;17672.0;13968.0;12568.0;11820.0;12408.0;22540.0;23544.0;23340.0;22396.0;23032.0;22912.0;22444.0;21920.0;22684.0;22028.0;21968.0;21300.0;21804.0;21252.0;20036.0;18688.0;17436.0;17348.0;16820.0;14040.0;13820.0;13388.0;12436.0;11784.0;11260.0;10692.0;9960.0;8932.0;7732.0;7280.0;6220.0;5512.0;4820.0;3944.0;2908.0;2536.0;1932.0;1484.0;1164.0;828.0;608.0;400.0;312.0;176.0;124.0;152.0;126052.0;83560.0;28464.0;86008.0;166224.0;336700.0;235704.0;926700.0;173784.0;218488.0;96348.0;323756.0;1177036.0;812376.0;14872.0;99244.0;9108.0;235704.0;818108.0;581932.0;1185228.0;130752.0;61512.0;29988.0;1016.0;1913328.0;18768.0;15488.0;4548.0;19160.0;10540.0;376.0;4400.0;1092.0;564.0;132.0;946488.0;1042924.0;978576.0;1010836.0;;;;;;;;;;;;;;;;;;;;;;;Centre-Val de Loire
2;2;1968;27;41860.0;42280.0;43536.0;44348.0;45000.0;42960.0;42956.0;42976.0;42872.0;43240.0;43172.0;42680.0;43868.0;43144.0;43460.0;43080.0;43488.0;43736.0;44368.0;43188.0;42688.0;40336.0;30632.0;29380.0;28096.0;27228.0;25116.0;24752.0;29100.0;28600.0;28956.0;28844.0;29052.0;30272.0;30216.0;31460.0;32524.0;32796.0;31440.0;31692.0;32152.0;32436.0;31796.0;30588.0;31296.0;30888.0;32196.0;32568.0;22280.0;17972.0;16128.0;15000.0;15588.0;28148.0;28012.0;28516.0;26784.0;27936.0;27692.0;28136.0;27412.0;27668.0;26088.0;27072.0;26480.0;26924.0;26964.0;24116.0;23752.0;21648.0;21056.0;19864.0;17304.0;17000.0;15944.0;14432.0;13772.0;12952.0;12508.0;11112.0;10096.0;8656.0;8000.0;7048.0;6004.0;5152.0;4444.0;3280.0;2720.0;2240.0;1696.0;1288.0;792.0;724.0;340.0;312.0;160.0;152.0;88.0;154948.0;97720.0;34732.0;110364.0;191776.0;405536.0;276504.0;1221184.0;184092.0;325572.0;98796.0;374540.0;1509764.0;983000.0;12204.0;145140.0;13236.0;276504.0;1062680.0;760416.0;1432904.0;177284.0;80952.0;41208.0;876.0;2340528.0;46684.0;18260.0;28828.0;19856.0;19192.0;416.0;15240.0;2184.0;596.0;104.0;1152408.0;1340356.0;1224884.0;1267880.0;;;;;;;;;;;;;;;;;;;;;;;Bourgogne-Franche-Comté
3;3;1968;28;50392.0;50996.0;52116.0;52952.0;53460.0;51476.0;51996.0;51948.0;52520.0;51364.0;52292.0;51576.0;52172.0;52072.0;51468.0;52652.0;51652.0;50716.0;52244.0;51124.0;49100.0;46048.0;35272.0;32396.0;31820.0;29232.0;26604.0;27632.0;31768.0;32448.0;33180.0;34056.0;33532.0;35932.0;34352.0;36240.0;36924.0;36980.0;35228.0;34772.0;35896.0;35988.0;35972.0;35516.0;34764.0;34520.0;35736.0;36904.0;26364.0;20168.0;18356.0;16464.0;17060.0;28552.0;29700.0;29656.0;28128.0;28940.0;28524.0;27588.0;28132.0;26908.0;26936.0;26428.0;25784.0;25028.0;24332.0;22752.0;20920.0;19976.0;19140.0;18340.0;15412.0;15032.0;14052.0;12624.0;11984.0;11580.0;10972.0;9536.0;8280.0;6744.0;6448.0;5784.0;4468.0;3916.0;3332.0;2468.0;1972.0;1656.0;1212.0;892.0;576.0;424.0;288.0;216.0;112.0;80.0;188.0;193572.0;106876.0;39656.0;125084.0;230996.0;463828.0;249380.0;1341032.0;252344.0;306776.0;112508.0;469436.0;1609360.0;1141064.0;20776.0;146184.0;16836.0;249380.0;1176184.0;887256.0;1562968.0;178152.0;83388.0;38660.0;964.0;2689212.0;21396.0;5956.0;4852.0;6728.0;11052.0;1924.0;6660.0;1028.0;600.0;52.0;1234888.0;1515536.0;1338836.0;1411588.0;;;;;;;;;;;;;;;;;;;;;;;Normandie
4;4;1968;32;102696.0;101964.0;103212.0;104644.0;104584.0;102104.0;103696.0;103264.0;102092.0;101364.0;102164.0;101176.0;103072.0;102612.0;100088.0;102848.0;101340.0;103400.0;102448.0;100516.0;96864.0;96528.0;68260.0;63320.0;60232.0;55272.0;45140.0;54616.0;62644.0;63476.0;65156.0;64144.0;65264.0;67176.0;67912.0;68720.0;73652.0;73556.0;69780.0;70488.0;70544.0;69692.0;70116.0;69996.0;68620.0;67624.0;70460.0;73836.0;49148.0;33112.0;28596.0;26852.0;29636.0;57044.0;56216.0;57592.0;54056.0;54712.0;55300.0;54800.0;54592.0;53184.0;52064.0;51876.0;50024.0;49836.0;47552.0;46844.0;44000.0;40948.0;39084.0;36556.0;33208.0;31252.0;28644.0;25448.0;24448.0;21768.0;20524.0;18340.0;17308.0;14456.0;12480.0;10828.0;9052.0;7956.0;6440.0;4984.0;3756.0;3056.0;2568.0;1744.0;1176.0;760.0;572.0;420.0;256.0;136.0;204.0;144484.0;186744.0;70996.0;233996.0;390056.0;954892.0;497784.0;2908828.0;207344.0;784872.0;169572.0;778052.0;3447940.0;1939840.0;46180.0;308692.0;28988.0;497784.0;2566296.0;1770620.0;3049332.0;340260.0;157224.0;70344.0;1372.0;4999424.0;151212.0;18300.0;41112.0;19104.0;95808.0;1320.0;46576.0;12608.0;856.0;88.0;2461384.0;2926396.0;2639108.0;2748672.0;;;;;;;;;;;;;;;;;;;;;;;Hauts-de-France
5;5;1968;44;89768.0;91468.0;93684.0;95628.0;96548.0;92744.0;94080.0;93208.0;92668.0;92672.0;91188.0;91668.0;92316.0;91248.0;88956.0;90824.0;87808.0;90340.0;90140.0;88836.0;87376.0;84596.0;59936.0;57520.0;58852.0;59768.0;56636.0;54444.0;64028.0;63388.0;63960.0;63248.0;63024.0;65660.0;65216.0;67352.0;69384.0;70732.0;66816.0;67396.0;67108.0;65312.0;64164.0;63048.0;61220.0;59912.0;62772.0;61940.0;44300.0;30412.0;27504.0;29180.0;31124.0;50740.0;51756.0;53412.0;50252.0;52196.0;51836.0;51684.0;51236.0;49656.0;48704.0;48380.0;46260.0;46164.0;44816.0;41612.0;39364.0;36704.0;34732.0;33292.0;28752.0;27356.0;25944.0;22616.0;21796.0;19688.0;18440.0;16136.0;15248.0;12320.0;10944.0;9288.0;8156.0;7016.0;5660.0;4176.0;3112.0;2744.0;2192.0;1452.0;1052.0;796.0;580.0;344.0;176.0;92.0;160.0;179820.0;146736.0;81504.0;229176.0;421036.0;874008.0;438376.0;2591496.0;220676.0;708924.0;190232.0;786404.0;3055916.0;1906236.0;27808.0;269244.0;25584.0;438376.0;2294904.0;1595656.0;2683960.0;428704.0;169276.0;84556.0;2320.0;4507204.0;163632.0;32400.0;120680.0;18032.0;63616.0;1124.0;47312.0;3884.0;1344.0;604.0;2255876.0;2706276.0;2449376.0;2512776.0;;;;;;;;;;;;;;;;;;;;;;;Grand Est
6;6;1968;52;46856.0;47648.0;47860.0;48964.0;49088.0;48268.0;48140.0;48168.0;48388.0;48140.0;47584.0;48016.0;47628.0;47112.0;47560.0;48852.0;47736.0;48400.0;48412.0;47972.0;47088.0;42272.0;30356.0;28340.0;28932.0;26468.0;24636.0;23644.0;29156.0;29456.0;29532.0;30608.0;30680.0;31908.0;31276.0;33204.0;33312.0;33232.0;31920.0;33264.0;33196.0;33312.0;32668.0;32652.0;34148.0;32912.0;33592.0;33824.0;22972.0;17636.0;15904.0;14116.0;15820.0;28516.0;29176.0;29164.0;27264.0;28184.0;27592.0;26980.0;26024.0;25616.0;25344.0;24736.0;24956.0;24496.0;23612.0;21808.0;20964.0;19660.0;19300.0;17844.0;16156.0;14992.0;14148.0;12716.0;12604.0;11360.0;11404.0;10000.0;9372.0;8248.0;7260.0;6092.0;5228.0;4612.0;4056.0;2968.0;2500.0;2068.0;1456.0;1072.0;764.0;576.0;412.0;252.0;180.0;108.0;168.0;252224.0;100476.0;32188.0;105776.0;189252.0;384204.0;268284.0;1242432.0;302188.0;253836.0;110188.0;383840.0;1524784.0;1050052.0;14244.0;137692.0;13844.0;268284.0;1090720.0;825820.0;1459944.0;177228.0;77852.0;33992.0;552.0;2553096.0;7872.0;2964.0;1600.0;2324.0;2912.0;576.0;1952.0;508.0;296.0;184.0;1150888.0;1423948.0;1239324.0;1335512.0;;;;;;;;;;;;;;;;;;;;;;;Pays de la Loire
7;7;1968;53;41476.0;40884.0;43136.0;43164.0;43344.0;43208.0;43664.0;42900.0;43108.0;44268.0;43184.0;43884.0;42364.0;42896.0;42956.0;43168.0;42556.0;44224.0;44488.0;43788.0;43004.0;38916.0;27148.0;25880.0;25936.0;23924.0;20668.0;21500.0;27456.0;27616.0;27928.0;28248.0;28916.0;29484.0;30428.0;31932.0;32000.0;32432.0;31312.0;32476.0;33144.0;33036.0;33168.0;33824.0;33924.0;32452.0;33832.0;35936.0;24028.0;19588.0;16344.0;15056.0;17260.0;30888.0;30912.0;31076.0;29232.0;30632.0;30368.0;29548.0;27692.0;27912.0;27716.0;26744.0;26276.0;25432.0;24864.0;23032.0;22068.0;20456.0;19848.0;18944.0;15748.0;14596.0;14824.0;13408.0;12388.0;10936.0;10676.0;9360.0;8580.0;7496.0;6168.0;5564.0;4388.0;3824.0;2948.0;2328.0;1712.0;1320.0;1128.0;700.0;496.0;392.0;192.0;164.0;104.0;76.0;72.0;303776.0;105080.0;31308.0;90688.0;163916.0;312272.0;267452.0;1190192.0;349092.0;156428.0;113956.0;373344.0;1471864.0;992820.0;14836.0;159604.0;13052.0;267452.0;1016920.0;771208.0;1445412.0;141616.0;73368.0;33080.0;460.0;2451892.0;5016.0;1940.0;1012.0;928.0;1560.0;512.0;908.0;288.0;144.0;24.0;1088156.0;1376528.0;1188132.0;1276552.0;;;;;;;;;;;;;;;;;;;;;;;Bretagne
8;8;1968;75;68300.0;69260.0;69900.0;74100.0;73868.0;72076.0;73180.0;74068.0;74172.0;74692.0;75844.0;76488.0;76576.0;77420.0;77592.0;78984.0;78848.0;81880.0;79352.0;78564.0;75456.0;70380.0;51228.0;49940.0;50516.0;45828.0;44200.0;39516.0;48264.0;47668.0;49384.0;52328.0;53508.0;56292.0;56600.0;58664.0;59316.0;61364.0;60228.0;61024.0;60724.0;62372.0;62048.0;61812.0;62544.0;62808.0;65944.0;66580.0;45876.0;35432.0;32836.0;29576.0;33900.0;57692.0;57536.0;58940.0;56096.0;59368.0;58968.0;58988.0;56320.0;56716.0;55472.0;54784.0;53716.0;54776.0;52600.0;49104.0;47152.0;44140.0;43088.0;40324.0;36048.0;34240.0;32956.0;29940.0;28172.0;25900.0;25968.0;23348.0;21176.0;19496.0;17660.0;15908.0;13052.0;11016.0;9608.0;7416.0;6368.0;5144.0;3652.0;2832.0;2132.0;1636.0;1052.0;716.0;460.0;260.0;380.0;418668.0;208144.0;68324.0;173300.0;365068.0;648892.0;554448.0;2234792.0;521904.0;382684.0;199260.0;747856.0;2819932.0;1851704.0;32128.0;269112.0;23948.0;554448.0;1940296.0;1320980.0;2832236.0;281588.0;158068.0;78764.0;2160.0;4470916.0;72208.0;59668.0;18168.0;24724.0;13840.0;1492.0;5428.0;2448.0;488.0;96.0;2229592.0;2442044.0;2265472.0;2406164.0;;;;;;;;;;;;;;;;;;;;;;;Nouvelle-Aquitaine
9;9;1968;76;54436.0;55344.0;57308.0;58600.0;58952.0;58508.0;58480.0;58472.0;58796.0;59816.0;58476.0;58120.0;59800.0;60424.0;60376.0;62612.0;62644.0;65604.0;65772.0;65964.0;65272.0;60452.0;45896.0;44016.0;45016.0;40364.0;38092.0;34096.0;39648.0;39876.0;41244.0;43520.0;44188.0;45788.0;46764.0;49608.0;50048.0;51692.0;50048.0;51024.0;51620.0;51872.0;53176.0;53216.0;52960.0;54216.0;56640.0;58972.0;39988.0;31344.0;28072.0;26016.0;29848.0;50028.0;50224.0;51060.0;47072.0;49964.0;49868.0;49816.0;47116.0;47844.0;47976.0;46292.0;44584.0;44876.0;44832.0;41460.0;39932.0;37504.0;36328.0;33820.0;31208.0;29080.0;27984.0;26380.0;24120.0;21712.0;20812.0;19420.0;18476.0;15904.0;14784.0;12920.0;10940.0;9068.0;7816.0;6032.0;4984.0;3892.0;3048.0;2284.0;1792.0;1280.0;740.0;572.0;396.0;176.0;292.0;280876.0;161820.0;62256.0;157232.0;274224.0;496608.0;427588.0;2029200.0;366792.0;270656.0;171064.0;598856.0;2482436.0;1407368.0;29124.0;282220.0;19056.0;427588.0;1724448.0;1111120.0;2361220.0;201420.0;138032.0;78012.0;2728.0;3462760.0;167408.0;163044.0;38784.0;16132.0;12668.0;1272.0;18588.0;4856.0;1412.0;152.0;1870976.0;2018828.0;1888184.0;2001620.0;;;;;;;;;;;;;;;;;;;;;;;Occitanie
