;index;ANS;REG_TRA_18;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;Agriculteurs;Artisans-commerçants-chefs d'entreprise;Cadres et professions intellectuelles supérieures;Professions intermédiaires;Employés;Ouvriers;Anciens actifs_x;Inactifs et chômeurs n'ayant jamais travaillé;Agriculture;Industrie;BTP;Tertiaire;Inactifs ou chômeurs;Actifs ayant un emploi;Chômeurs;Étudiants ou élèves;Militaires du contingent;Anciens actifs_y;Autres inactifs;Personnes de moins de 15 ans (17 ans pour le RP 1975) ou étudiants - élèves;Aucun diplôme ou au mieux BEPC - brevet des collèges ou DNB;CAP - BEP;Baccalauréat (général - techno - pro);Diplôme d'études supérieures;Autres nationalités;Français de naissance;Français par acquisition;Espagnols;Italiens;Portugais;Autres nationalités d'Europe;Autres nationalités d'Afrique;Algériens;Marocains;Tunisiens;Turcs;Marié;Non marié;Homme;Femme;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;REGION
0;0;1968;11;;;;;;;;;;;;;;;3472.0;20624.0;34956.0;56852.0;81664.0;92880.0;98924.0;124472.0;102824.0;106136.0;109308.0;106564.0;97380.0;97588.0;106164.0;102844.0;102456.0;103164.0;100412.0;102904.0;102556.0;105192.0;104588.0;106256.0;102524.0;101644.0;101824.0;99948.0;99256.0;96364.0;95632.0;95804.0;97216.0;99168.0;70676.0;56280.0;51104.0;47012.0;48008.0;77320.0;76420.0;74816.0;69392.0;68392.0;66468.0;64724.0;57204.0;52800.0;49124.0;44920.0;40452.0;24684.0;18872.0;14864.0;12448.0;10456.0;8316.0;7296.0;5828.0;5044.0;4400.0;3524.0;2916.0;2548.0;2080.0;1580.0;1448.0;1092.0;940.0;672.0;520.0;520.0;388.0;316.0;176.0;140.0;120.0;64.0;100.0;36.0;44.0;40.0;32.0;28.0;44.0;23080.0;349440.0;407868.0;735504.0;1389788.0;1400568.0;;;56756.0;1374204.0;397068.0;2478220.0;;4306248.0;;;;;;3472.0;2891876.0;673804.0;389636.0;347460.0;14464.0;3705732.0;150956.0;83508.0;53284.0;78852.0;65076.0;12300.0;99000.0;23852.0;17772.0;1452.0;2858760.0;1447488.0;2608744.0;1697504.0;;;;;;;;;;;;;;;;;;;;;;;Île-de-France
1;1;1968;24;;;;;;;;;;;;;;;4296.0;11944.0;14700.0;19132.0;21528.0;21268.0;19400.0;22704.0;17708.0;16136.0;16584.0;15480.0;14452.0;13428.0;15824.0;15928.0;15900.0;16420.0;16844.0;17296.0;16788.0;17904.0;17848.0;18264.0;18060.0;17528.0;17868.0;17624.0;17464.0;17080.0;18188.0;17804.0;18140.0;18492.0;12352.0;9832.0;8804.0;8116.0;8512.0;15376.0;15776.0;15012.0;13864.0;14264.0;13584.0;12948.0;11144.0;11108.0;10428.0;9300.0;8212.0;4964.0;4012.0;3092.0;2440.0;2104.0;1676.0;1476.0;1056.0;1032.0;716.0;620.0;612.0;584.0;436.0;340.0;260.0;212.0;180.0;136.0;132.0;72.0;64.0;48.0;60.0;24.0;24.0;16.0;44.0;16.0;8.0;4.0;8.0;;4.0;126112.0;83152.0;27640.0;82700.0;158848.0;322676.0;;;173760.0;214672.0;94284.0;318412.0;;801128.0;;;;;;4296.0;624816.0;103332.0;45212.0;23472.0;316.0;764000.0;9024.0;6800.0;2084.0;10352.0;4940.0;140.0;2348.0;660.0;364.0;100.0;537048.0;264080.0;520076.0;281052.0;;;;;;;;;;;;;;;;;;;;;;;Centre-Val de Loire
2;2;1968;27;;;;;;;;;;;;;;;2644.0;10632.0;15248.0;21372.0;26652.0;25788.0;24776.0;29000.0;22716.0;21684.0;20836.0;20064.0;17992.0;17644.0;20896.0;20212.0;20348.0;19996.0;20076.0;20912.0;20820.0;21820.0;22472.0;22796.0;22148.0;22208.0;22392.0;22604.0;22228.0;21612.0;21996.0;21952.0;22656.0;23048.0;15752.0;12224.0;10988.0;10228.0;10524.0;19224.0;18620.0;17964.0;16360.0;16648.0;16076.0;15764.0;14160.0;12976.0;11260.0;11168.0;9972.0;6184.0;4728.0;3840.0;3140.0;2664.0;2200.0;1748.0;1432.0;1076.0;960.0;908.0;636.0;740.0;580.0;432.0;272.0;272.0;220.0;152.0;108.0;108.0;72.0;80.0;28.0;48.0;36.0;24.0;24.0;16.0;8.0;4.0;12.0;32.0;4.0;155080.0;97828.0;34676.0;109516.0;187924.0;397912.0;;;184260.0;325164.0;98804.0;374708.0;;982936.0;;;;;;2644.0;747620.0;138480.0;60756.0;33436.0;288.0;910924.0;22112.0;7648.0;12224.0;10704.0;8892.0;112.0;8044.0;1448.0;452.0;88.0;645712.0;337224.0;654584.0;328352.0;;;;;;;;;;;;;;;;;;;;;;;Bourgogne-Franche-Comté
3;3;1968;28;;;;;;;;;;;;;;;3980.0;18016.0;23420.0;29012.0;34428.0;31632.0;29000.0;33740.0;26192.0;23768.0;23396.0;21644.0;19532.0;19960.0;22468.0;22876.0;23504.0;24072.0;23576.0;24788.0;23776.0;25316.0;25656.0;26092.0;24808.0;24628.0;25824.0;25616.0;25704.0;25652.0;25204.0;24676.0;25848.0;26552.0;18588.0;14040.0;12748.0;11456.0;11704.0;20180.0;20324.0;19688.0;18124.0;18200.0;17756.0;16248.0;15248.0;14008.0;13212.0;12100.0;10780.0;7108.0;5716.0;4384.0;3760.0;3060.0;2592.0;2136.0;1652.0;1520.0;1180.0;948.0;816.0;824.0;564.0;496.0;400.0;324.0;228.0;176.0;140.0;140.0;120.0;80.0;32.0;40.0;32.0;24.0;28.0;8.0;;8.0;4.0;4.0;12.0;193644.0;106780.0;39260.0;123336.0;223708.0;450588.0;;;252280.0;305600.0;111672.0;467764.0;;1137316.0;;;;;;3980.0;895376.0;141968.0;64144.0;31848.0;352.0;1105396.0;10896.0;2952.0;2532.0;3664.0;5284.0;1368.0;3796.0;672.0;368.0;36.0;752716.0;384600.0;718840.0;418476.0;;;;;;;;;;;;;;;;;;;;;;;Normandie
4;4;1968;32;;;;;;;;;;;;;;;3488.0;27332.0;39672.0;52708.0;63192.0;60040.0;55280.0;68240.0;48440.0;45004.0;42456.0;38764.0;30620.0;36892.0;41852.0;41332.0;42688.0;41332.0;41552.0;42772.0;42680.0;43764.0;46584.0;46756.0;44520.0;45148.0;44628.0;44520.0;44620.0;44724.0;43664.0;43108.0;44592.0;47144.0;30728.0;20124.0;16776.0;15488.0;17344.0;32988.0;32176.0;29816.0;26868.0;26852.0;26184.0;24968.0;21580.0;19980.0;17824.0;16496.0;13932.0;7768.0;5680.0;5080.0;4100.0;3336.0;2776.0;2516.0;1860.0;1592.0;1340.0;1104.0;1116.0;760.0;740.0;516.0;408.0;344.0;324.0;272.0;184.0;144.0;88.0;124.0;48.0;52.0;24.0;36.0;28.0;16.0;12.0;4.0;;8.0;8.0;144496.0;186760.0;70236.0;228828.0;374488.0;917832.0;;;207304.0;779596.0;166536.0;769204.0;;1922640.0;;;;;;3488.0;1474660.0;263396.0;122332.0;58764.0;576.0;1764888.0;62628.0;6968.0;15836.0;9864.0;31988.0;708.0;18924.0;9660.0;544.0;56.0;1290240.0;632400.0;1307480.0;615160.0;;;;;;;;;;;;;;;;;;;;;;;Hauts-de-France
5;5;1968;44;;;;;;;;;;;;;;;10132.0;29048.0;35944.0;47948.0;56240.0;54084.0;50552.0;59460.0;42596.0;40916.0;41764.0;42028.0;39356.0;37244.0;43936.0;42712.0;43004.0;42224.0;41036.0;43216.0;43052.0;43716.0;44988.0;46324.0;43596.0;44440.0;44248.0;42780.0;41376.0;41332.0;39496.0;39184.0;40940.0;40828.0;28668.0;19460.0;17552.0;18412.0;19556.0;31480.0;32000.0;30516.0;28004.0;28024.0;27020.0;25624.0;21688.0;19572.0;17868.0;17080.0;14456.0;8516.0;6720.0;5548.0;4504.0;3832.0;3220.0;2820.0;2096.0;1996.0;1676.0;1332.0;1076.0;936.0;732.0;612.0;444.0;300.0;236.0;256.0;196.0;152.0;108.0;80.0;32.0;40.0;52.0;16.0;16.0;12.0;4.0;;4.0;4.0;16.0;179884.0;146792.0;81012.0;225964.0;409384.0;841268.0;;;220448.0;695640.0;186836.0;781380.0;;1884304.0;;;;;;10132.0;1344740.0;331088.0;128464.0;69880.0;632.0;1688200.0;65368.0;14200.0;45616.0;9840.0;27248.0;484.0;29180.0;2396.0;672.0;468.0;1224604.0;659700.0;1282488.0;601816.0;;;;;;;;;;;;;;;;;;;;;;;Grand Est
6;6;1968;52;;;;;;;;;;;;;;;6768.0;17900.0;21868.0;26740.0;31788.0;30956.0;28392.0;31184.0;22444.0;20712.0;21056.0;19136.0;17640.0;16896.0;20424.0;20808.0;20752.0;21604.0;21556.0;22256.0;22228.0;23172.0;23552.0;23772.0;22576.0;23896.0;23800.0;24012.0;23420.0;23584.0;25024.0;23504.0;23896.0;24252.0;16636.0;12412.0;11140.0;9912.0;10892.0;19896.0;20252.0;19204.0;17524.0;17828.0;16724.0;16008.0;14080.0;12820.0;11804.0;10760.0;9884.0;5240.0;4268.0;3296.0;2800.0;2268.0;1968.0;1644.0;1424.0;1132.0;908.0;712.0;724.0;572.0;484.0;376.0;324.0;316.0;196.0;156.0;100.0;116.0;92.0;56.0;60.0;56.0;40.0;32.0;16.0;8.0;4.0;20.0;4.0;;4.0;252172.0;100456.0;31964.0;104876.0;184472.0;374820.0;;;302132.0;252844.0;110524.0;383260.0;;1048760.0;;;;;;6768.0;813032.0;141784.0;59496.0;27680.0;176.0;1038436.0;3268.0;1408.0;864.0;1536.0;1384.0;164.0;820.0;340.0;192.0;172.0;685828.0;362932.0;656488.0;392272.0;;;;;;;;;;;;;;;;;;;;;;;Pays de la Loire
7;7;1968;53;;;;;;;;;;;;;;;2540.0;8484.0;12764.0;18356.0;24420.0;25892.0;24816.0;27548.0;19608.0;18640.0;19076.0;17172.0;14992.0;15528.0;19564.0;19588.0;19408.0;19888.0;20396.0;20720.0;21396.0;22532.0;22744.0;22912.0;22508.0;23424.0;24140.0;23936.0;23944.0;24768.0;24816.0;23260.0;24324.0;25456.0;16864.0;13344.0;11204.0;10152.0;11604.0;20892.0;20872.0;19928.0;17912.0;18300.0;17752.0;16712.0;14244.0;13040.0;12252.0;10796.0;9652.0;6044.0;4772.0;4080.0;3468.0;2812.0;2520.0;2024.0;1468.0;1176.0;1108.0;972.0;740.0;572.0;492.0;372.0;324.0;248.0;228.0;180.0;120.0;148.0;84.0;60.0;36.0;36.0;32.0;20.0;12.0;12.0;8.0;;8.0;;;303736.0;105144.0;31144.0;89364.0;159360.0;300508.0;;;348916.0;155372.0;112780.0;372188.0;;989256.0;;;;;;2540.0;794856.0;109768.0;55308.0;26784.0;212.0;982864.0;2228.0;964.0;468.0;676.0;792.0;148.0;636.0;180.0;80.0;8.0;642924.0;346332.0;617052.0;372204.0;;;;;;;;;;;;;;;;;;;;;;;Bretagne
8;8;1968;75;;;;;;;;;;;;;;;6700.0;21984.0;27544.0;36596.0;43404.0;43628.0;39996.0;46732.0;35348.0;34820.0;35436.0;31980.0;30856.0;27440.0;33500.0;32680.0;33840.0;36048.0;36212.0;38112.0;38440.0;39964.0;40292.0;42204.0;41584.0;42000.0;42276.0;43048.0;43268.0;42740.0;43616.0;43392.0;45952.0;46236.0;31852.0;24260.0;22048.0;19444.0;22544.0;38504.0;37852.0;37124.0;34348.0;36560.0;35132.0;34048.0;29576.0;27380.0;25240.0;23748.0;21044.0;13616.0;10916.0;8840.0;7932.0;6252.0;5496.0;4584.0;3592.0;3436.0;2484.0;2396.0;2056.0;1548.0;1460.0;1316.0;1060.0;844.0;752.0;632.0;472.0;340.0;264.0;192.0;184.0;120.0;92.0;64.0;56.0;48.0;16.0;20.0;8.0;8.0;28.0;418828.0;208144.0;67368.0;170104.0;352896.0;632356.0;;;521980.0;383140.0;198756.0;745820.0;;1849696.0;;;;;;6700.0;1451516.0;216392.0;113508.0;61580.0;632.0;1757420.0;35604.0;24648.0;9296.0;11492.0;6024.0;460.0;2716.0;1104.0;268.0;32.0;1238904.0;610792.0;1227464.0;622232.0;;;;;;;;;;;;;;;;;;;;;;;Nouvelle-Aquitaine
9;9;1968;76;;;;;;;;;;;;;;;1896.0;9000.0;13788.0;20284.0;26588.0;28416.0;29724.0;34832.0;28000.0;27900.0;28776.0;26420.0;25796.0;22736.0;26444.0;26368.0;26888.0;27804.0;28400.0;29248.0;29848.0;31352.0;31976.0;32692.0;32144.0;32536.0;32756.0;33300.0;33920.0;34212.0;33860.0;34580.0;36144.0;37100.0;25196.0;19568.0;17092.0;15972.0;18128.0;30172.0;29644.0;28648.0;25452.0;26308.0;25860.0;24936.0;21240.0;20172.0;18908.0;17216.0;15772.0;10456.0;8884.0;7220.0;6320.0;5376.0;4296.0;3760.0;3256.0;2736.0;2436.0;2212.0;1716.0;1464.0;1440.0;1036.0;924.0;760.0;724.0;508.0;504.0;360.0;276.0;216.0;172.0;192.0;76.0;80.0;36.0;44.0;8.0;12.0;;4.0;12.0;281008.0;161748.0;61216.0;154100.0;264128.0;481328.0;;;366920.0;269996.0;170800.0;595812.0;;1403528.0;;;;;;1896.0;1097208.0;148056.0;96096.0;60272.0;688.0;1232364.0;73508.0;57432.0;17200.0;7348.0;4728.0;292.0;6960.0;2360.0;600.0;48.0;947600.0;455928.0;989872.0;413656.0;;;;;;;;;;;;;;;;;;;;;;;Occitanie
