Day;Asma;EPOC;Diabetes;Heart Disease;VIH;Cancer;Malnutricion;Obesity;Renal Insufficiency;Otro_medinm;Fumador;Otros_dc
 9/2/2020 ;0;0;0;0;0;0;0;0;0;0;0;0
 5/3/2020 ;0;0;0;0;0;0;0;0;0;0;0;0
 7/3/2020 ;0;0;0;0;0;0;0;0;0;0;0;0
 9/3/2020 ;0;0;0;0;0;0;0;0;0;0;0;0
 10/3/2020 ;1;0;0;0;0;0;0;0;0;0;1;0
 11/3/2020 ;3;0;1;0;0;0;0;0;0;0;0;0
 12/3/2020 ;1;0;0;0;0;0;0;1;0;0;0;2
 13/3/2020 ;0;1;0;0;0;0;0;1;0;0;1;0
 14/3/2020 ;1;0;0;0;0;0;0;0;0;0;0;1
 15/3/2020 ;1;0;0;0;0;0;0;0;0;0;0;0
 16/3/2020 ;0;1;0;1;0;0;0;0;0;0;0;3
 17/3/2020 ;1;0;0;0;0;0;0;1;0;0;1;0
 18/3/2020 ;1;0;1;0;0;0;0;0;0;0;0;1
 19/3/2020 ;1;1;0;0;0;1;0;1;0;0;0;2
 20/3/2020 ;2;1;0;2;0;1;0;1;1;0;0;3
 21/3/2020 ;2;0;0;0;0;0;0;1;0;0;0;2
 22/3/2020 ;1;0;1;0;0;0;1;0;0;0;0;1
 23/3/2020 ;1;0;0;2;0;1;0;0;0;0;0;6
 24/3/2020 ;1;1;1;2;0;0;0;1;1;1;2;4
 25/3/2020 ;2;0;2;1;0;0;0;0;0;1;1;6
 26/3/2020 ;2;2;0;1;1;1;0;2;2;0;1;7
 27/3/2020 ;1;3;1;1;1;1;0;1;0;0;0;4
 28/3/2020 ;1;0;0;0;0;0;0;1;0;0;0;2
 29/3/2020 ;0;0;1;1;1;0;0;0;0;0;0;2
 30/3/2020 ;1;0;0;0;0;0;0;0;0;0;2;8
 31/3/2020 ;0;0;1;0;0;0;0;2;0;0;0;2
 1/4/2020 ;1;0;0;1;0;0;0;0;0;0;2;5
 2/4/2020 ;1;1;1;1;1;1;0;0;0;0;0;2
 3/4/2020 ;1;1;3;0;0;0;0;0;0;0;1;2
 4/4/2020 ;1;0;0;0;0;0;0;0;0;0;0;0
 5/4/2020 ;0;2;1;0;1;0;1;0;1;0;1;2
 6/4/2020 ;0;2;2;1;1;0;0;1;1;1;0;2
 7/4/2020 ;0;2;2;2;0;0;0;1;0;0;0;4
 8/4/2020 ;1;2;0;1;0;1;0;2;0;0;3;2
 9/4/2020 ;1;0;1;1;1;0;2;0;0;0;0;1
 10/4/2020 ;1;2;1;1;0;2;1;1;0;0;0;5
 11/4/2020 ;0;5;2;4;0;2;1;3;0;0;2;2
 12/4/2020 ;2;2;2;3;0;2;2;2;0;0;1;3
 13/4/2020 ;2;4;3;4;0;3;0;1;3;0;1;4
 14/4/2020 ;1;1;3;2;1;3;0;3;0;1;4;3
 15/4/2020 ;0;4;1;6;1;1;0;2;2;2;0;5
 16/4/2020 ;2;2;5;2;1;1;1;3;2;1;0;4
 17/4/2020 ;2;1;3;1;1;1;0;3;1;2;1;6
 18/4/2020 ;1;1;3;3;1;2;0;0;3;1;1;4
 19/4/2020 ;0;1;1;3;1;2;1;0;0;1;3;4
 20/4/2020 ;1;3;1;1;0;0;0;1;2;2;3;6
 21/4/2020 ;2;1;5;5;2;0;0;1;1;1;2;4
 22/4/2020 ;4;5;2;4;1;2;2;2;1;0;1;8
 23/4/2020 ;1;2;14;7;1;5;0;4;7;0;1;8
 24/4/2020 ;2;9;15;6;0;3;1;4;2;0;3;31
 25/4/2020 ;2;0;2;3;0;0;0;1;2;0;1;6
 26/4/2020 ;1;7;6;2;1;1;0;3;2;0;0;14
 27/4/2020 ;1;3;6;6;1;1;1;2;2;1;3;15
 28/4/2020 ;2;5;6;2;1;0;0;0;2;0;2;16
