day,cases,cases_cummulative
4/17/2020,1,1
6/16/2020,1,2
6/23/2020,1,3
6/25/2020,1,4
7/4/2020,1,5
7/5/2020,1,6
7/9/2020,1,7
7/10/2020,1,8
7/13/2020,2,10
7/19/2020,1,11
7/20/2020,1,12
7/21/2020,4,16
7/22/2020,1,17
7/23/2020,1,18
7/24/2020,1,19
7/25/2020,3,22
7/26/2020,2,24
7/27/2020,1,25
7/29/2020,4,29
7/30/2020,2,31
7/31/2020,2,33
8/1/2020,9,42
8/2/2020,3,45
8/3/2020,6,51
8/4/2020,5,56
8/5/2020,11,67
8/6/2020,13,80
8/7/2020,9,89
8/8/2020,12,101
8/9/2020,8,109
8/10/2020,18,127
8/11/2020,11,138
8/12/2020,7,145
8/13/2020,10,155
8/14/2020,10,165
8/15/2020,10,175
8/16/2020,14,189
8/17/2020,19,208
8/18/2020,5,213
8/19/2020,10,223
8/20/2020,6,229
8/21/2020,16,245
8/22/2020,12,257
8/23/2020,10,267
8/24/2020,8,275
8/25/2020,21,296
8/26/2020,15,311
8/27/2020,11,322
8/28/2020,13,335
8/29/2020,14,349
8/30/2020,15,364
8/31/2020,10,374
9/1/2020,8,382
9/2/2020,15,397
9/3/2020,6,403
9/4/2020,8,411
9/5/2020,9,420
9/6/2020,13,433
9/7/2020,7,440
9/8/2020,8,448
9/9/2020,9,457
9/10/2020,8,465
9/11/2020,8,473
9/12/2020,13,486
9/13/2020,6,492
9/14/2020,10,502
9/15/2020,10,512
9/16/2020,3,515
9/17/2020,7,522
9/18/2020,5,527
9/19/2020,5,532
9/20/2020,8,540
9/21/2020,4,544
9/22/2020,7,551
9/23/2020,1,552
9/24/2020,7,559
